model,input,date,mape,rmse,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
Linear regression_0,단변량,5y,72.7256684,464.4215821,708.0543379,644.0258773,707.4372806,600.9182509,560.8606993,516.9867194,589.885142,510.4730851,517.6515429,615.7353776,588.232802,573.497887
Linear regression_0,공급_small,3m,8.210864436,107.7186905,706.8081924,763.7445371,757.8622368,816.9379099,853.2827074,1085.000433,1209.424049,1003.714691,1107.767514,1005.829749,1018.806364,980.4456503
Linear regression_0,공급_small,1y,27.09175645,254.821422,684.7023923,688.8406241,726.1137132,754.8995412,801.0222088,819.5094187,744.9825739,865.0788836,777.572292,726.2934774,846.9192534,1007.410666
Linear regression_0,공급_small,3y,24.39426004,254.3764724,652.1137717,705.779586,774.7067764,850.4764536,702.5371093,726.3109643,832.0448521,773.1236023,869.60545,928.408212,1055.10426,887.3948433
Linear regression_0,공급_small,5y,25.56372635,247.0267355,700.8811586,722.6043736,755.9958445,733.6724738,722.9196968,808.1859096,835.2378109,799.3485164,861.6534869,907.1120815,837.2287696,846.1330457
Linear regression_0,공급_large,3m,19.60467445,180.3717302,617.9414573,649.2829042,675.2078664,817.3313121,806.8589134,1029.497386,1134.345119,1098.305775,918.2382871,826.7373477,869.3117055,720.7122036
Linear regression_0,공급_large,1y,21.95408433,210.1185623,692.8725041,642.6099022,621.1304943,673.4108758,712.3072058,823.1901718,919.8664226,950.6918348,958.7540272,957.1306306,1068.717872,1158.435624
Linear regression_0,공급_large,3y,21.38073599,234.5805582,682.5204172,715.1149715,764.6199424,839.1428993,757.2492368,743.2904872,821.0631305,823.0557015,890.6279921,952.8110246,1044.567537,909.8958131
Linear regression_0,공급_large,5y,25.65807533,247.5251701,700.0390465,722.1666768,755.3599292,732.8151266,722.5252162,808.0568784,834.6544147,797.794945,860.5444804,906.2317205,837.2959238,846.410717
Linear regression_0,전부 다,3m,12.49479126,140.6810825,771.6513239,737.8492871,712.3016891,782.179557,826.9607364,973.3456582,1062.72523,1020.757823,935.4293328,969.5801904,956.632492,942.1481625
Linear regression_0,전부 다,1y,27.31164013,251.12414,784.2397408,683.520666,702.2866874,700.1383986,723.1566793,819.8219896,847.4678826,791.6291516,825.7649875,879.7806491,844.1366196,868.3883044
Linear regression_0,전부 다,3y,13.18795386,151.0395818,795.6558382,887.5151163,864.5977005,800.7036,839.5189505,909.8739559,929.2919675,1033.41045,1028.900077,1012.247264,992.897978,1058.454356
Linear regression_0,전부 다,5y,26.44319655,251.1054478,683.3012759,698.7327146,757.2710446,768.5398989,787.0121566,786.2252839,800.2796654,809.9388322,855.9210197,848.471496,819.9948333,831.5520497
Linear regression_1,공급_small,3m,15.8144664,176.3300674,663.5603344,696.895172,734.1817332,757.7436801,778.5009951,839.6464121,928.5412558,983.0177176,1002.996802,999.6771496,1007.465148,996.2780464
Linear regression_1,공급_small,1y,28.28716362,255.2152467,650.7543011,669.6483595,686.4896969,702.7437533,722.808298,756.8566315,798.7369385,829.7747077,856.6005094,876.2681892,891.8769413,901.286102
Linear regression_1,공급_small,3y,37.68338812,307.6854123,638.821714,653.6869236,667.7759438,680.9107095,694.5732746,713.326389,739.3044314,760.737669,776.2054991,783.7588351,786.6334682,784.1712769
Linear regression_1,공급_small,5y,46.41301337,354.590666,662.7933937,658.6444427,652.6857477,647.1251019,647.253793,660.9586147,682.3648353,697.3549734,709.7820186,717.7390034,722.3455211,723.7436232
Linear regression_1,공급_large,3m,19.49700337,195.5032444,651.1398691,674.8838453,695.3624838,728.4341688,755.7034899,820.9922738,897.9353429,959.5638565,984.6569811,970.1169478,968.4267977,958.8144838
Linear regression_1,공급_large,1y,34.90955247,291.8212963,652.3118197,657.7536929,652.0708952,667.022917,686.0970213,717.3567895,761.0865262,789.6481103,808.3700577,815.2451067,835.3473609,833.6486084
Linear regression_1,공급_large,3y,39.01129112,315.8418919,669.2446044,658.5294903,657.8292867,671.1413351,682.2300435,707.8541246,740.0264569,755.767199,770.1860133,767.6044618,764.4334907,752.1989244
Linear regression_1,공급_large,5y,43.36934676,339.1285798,660.5780796,656.9020085,659.9179043,665.6956927,673.4983962,692.5371805,705.6447963,717.5391878,721.6992615,723.6343357,731.6490458,730.5335773
Linear regression_1,전부 다,3m,24.76823222,231.0130377,639.1747598,655.7998882,674.2940174,709.7378468,743.9707175,785.2569587,829.0435852,869.5384538,899.6587467,915.5494914,946.9454532,963.9534323
Linear regression_1,전부 다,1y,28.56864505,261.7122917,689.3743217,701.1236948,707.8574089,722.2055841,740.9643563,765.2488487,791.0899241,811.4700098,826.7680629,835.4145703,848.6652725,857.8295634
Linear regression_1,전부 다,3y,35.54502342,299.7353694,670.7889982,676.9510246,679.9540007,689.6026524,710.7619232,723.6499631,748.4937467,758.6582048,774.9229159,789.3721509,792.944993,804.3020573
Linear regression_1,전부 다,5y,37.97183782,314.564899,681.9744345,685.693465,683.3404908,687.400002,697.0233935,713.7049798,731.6524265,744.6143782,752.7497281,758.0323444,762.0913651,770.319681
XGBoost_0,공급_small,3m,8.387739198,110.4564225,677.9989,742.99884,743.00073,750.00006,852.99884,1072.9989,1072.9999,1073.0007,1203,1202.9987,1060.0006,1060
XGBoost_0,공급_small,1y,10.89896197,160.6218839,673.8674,702.5704,741.7089,767.1786,852.99817,1072.9987,1071.563,777.8458,1038.1617,1134.5872,1190.089,1045.1152
XGBoost_0,공급_small,3y,10.78552537,160.9316265,614.16064,742.9986,741.63715,777.99884,852.9978,1072.9987,1069.7886,784.15314,1024.512,1083.7191,1194.7928,1052.6412
XGBoost_0,공급_small,5y,11.02027145,163.1394082,622.40485,724.60333,742.5368,777.9982,852.9952,1072.9987,1054.5725,776.276,1014.1754,1064.9673,1198.6241,1052.7847
XGBoost_0,공급_small,10y,8.915573652,137.7777858,660.90424,718.6185,786.7017,784.3965,849.7122,1071.2224,1063.1365,853.1542,1056.5746,1098.1062,1111.1787,1043.7279
XGBoost_0,공급_large,3m,7.601586232,103.2020023,677.9989,742.99884,743.00073,750.00006,852.99884,1072.9989,1072.9999,1073.0007,1203,1103,1060.0006,1060
XGBoost_0,공급_large,1y,9.390727675,153.9689717,674.5976,702.56976,743.0388,777.99774,852.99854,1072.9988,1065.3627,773.72144,1114.478,1103.3093,1085.964,1048.0553
XGBoost_0,공급_large,3y,9.431500352,153.1936582,632.6979,738.26715,741.9269,777.99866,852.99805,1072.9987,1061.7723,782.98206,1121.2986,1085.1122,1085.5911,1058.8673
XGBoost_0,공급_large,5y,9.89346041,167.3493812,625.44604,734.69196,729.498,777.99866,852.9985,1072.9987,1057.2618,724.8268,1124.9874,1062.1648,1083.4366,1051.4589
XGBoost_0,공급_large,10y,8.440188399,135.0720078,688.17267,721.4255,787.1346,773.7892,851.64307,1072.9136,1049.032,859.03265,1165.882,1100.6982,1061.2433,1039.5974
XGBoost_0,전부 다,3m,7.601586232,103.2020023,677.9989,742.99884,743.00073,750.00006,852.99884,1072.9989,1072.9999,1073.0007,1203,1103,1060.0006,1060
XGBoost_0,전부 다,1y,10.21846138,157.9555108,667.3209,702.57086,743.00385,777.9977,852.9986,1072.9988,1080.8403,778.1602,1136.3391,1199.4321,1085.2885,1045.3843
XGBoost_0,전부 다,3y,9.726485788,153.5075972,660.81067,730.2997,743.04126,777.9983,852.9986,1072.9988,1072.9999,790.45746,1123.2056,1177.7633,1090.6991,1044.84
XGBoost_0,전부 다,5y,11.18516176,165.6129913,646.90155,710.8474,712.1784,777.86005,852.9984,1072.9988,1063.716,749.1899,1194.9193,1155.7576,1088.7554,1050.431
XGBoost_1,단변량,3m,21.78369383,272.772683,670.7667236,711.0224609,707.9204102,790.5223389,814.7977905,785.8983765,782.1414185,782.1414185,782.1414185,782.1414185,782.1414185,782.1414185
XGBoost_1,단변량,1y,24.81901627,307.4816392,671.3239746,713.1895752,701.9244385,752.9938354,757.6706543,749.4198608,740.2092896,740.7596436,745.1011963,740.5308228,733.9818726,738.2589722
XGBoost_1,단변량,3y,32.33153199,381.1526166,659.229126,653.3120117,649.3809814,647.6243286,648.0862427,651.6262207,654.4830322,669.5144043,669.9118652,660.2722168,656.7459106,656.2303467
XGBoost_1,단변량,5y,32.07134185,382.4055872,651.1984863,670.0455322,668.9246216,662.0044556,665.0432739,650.7150269,657.2410278,657.9697876,659.0734253,651.1964722,651.367981,649.2717896
