시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
(주)이시아폴리스,"(주)우방,(주)포스코건설",봉무이시아폴리스더샵3차 신축공사,03,0301,대구광역시,대구 동구,"최저 28 층 ~ 최고 28층, 21동",일반분양,1702,1686,0,0,6800106,20131029,20111115
한국자산신탁(주),"쌍용건설(주),",침산동 2차 쌍용예가,03,0302,대구광역시,대구 북구,"최저 -1 층 ~ 최고 18층, 8동",일반분양,665,657,0,0,7052822,20130708,
라일건설(주),"라일건설(주),",부평동 라일플로리스 주상복합,04,0403,인천광역시,인천 부평구,"최저 -3 층 ~ 최고 15층, 1동",일반분양,211,126,0,0,8254728,20110518,
한국자산신탁(주),"(주)한양,",인천 박촌역 한양수자인아파트,04,0407,인천광역시,인천 계양구,"최저 10 층 ~ 최고 15층, 8동",일반분양,395,376,0,0,9798676,20091012,
케이비부동산신탁(주),"에스케이에코플랜트(주),",인천 청라지구 A31블럭 청라 SK VIEW,04,0404,인천광역시,인천 서구,"최저 24 층 ~ 최고 30층, 9동",일반분양,900,879,0,0,10952610,20110610,
(주)원건설산업,"(주)원건설,",인천 청라 힐데스하임 신축공사,04,0404,인천광역시,인천 서구,"최저 20 층 ~ 최고 25층, 10동",일반분양,1304,1284,0,0,9266410,20110218,20081007
임술환,"(주)힘찬건설,",인천시 부평구 부평동 415-8 인스테이션,04,0403,인천광역시,인천 부평구,"최저 1 층 ~ 최고 15층, 1동",일반분양,109,90,0,0,8511003,20110222,
성은건설(주),"(주)성은종합건설,","당하동 엘리시안 타운 도시형 생활주택(당하지구 33블럭-1,6롯트)",04,0404,인천광역시,인천 서구,"최저 1 층 ~ 최고 5층, 1동",일반분양,64,64,0,0,7317909,20111123,
(주)하나자산신탁,"현대건설(주),",검단 힐스테이트 6차,04,0404,인천광역시,인천 서구,"최저 -2 층 ~ 최고 15층, 9동",일반분양,454,454,0,0,10935815,20111019,
삼익산업개발(주),"삼익산업개발(주),",인천 남구 학익동 영남주택재건축,04,0402,인천광역시,인천 미추홀구,"최저 -2 층 ~ 최고 12층, 1동",재건축,80,20,60,0,8527006,20111013,
에쓰와이이앤씨(주),"에쓰와이이앤씨(주),",광주 수완 세영리첼 신축공사,05,0506,광주광역시,광주 광산구,"최저 17 층 ~ 최고 25층, 8동",일반분양,547,536,0,0,7047404,20120926,20110905
진아건설(주),"아이리스건설(주),",광주 수완 진아리채(C19-2),05,0506,광주광역시,광주 광산구,"최저 15 층 ~ 최고 15층, 7동",일반분양,408,403,0,0,6895028,20120530,
대성건설(주),"대성베르힐건설(주),",광주 소촌동 대성베르힐아파트,05,0506,광주광역시,광주 광산구,"최저 1 층 ~ 최고 15층, 6동",일반분양,280,207,0,73,2635638,20110504,
(주)유탑건설,"(주)유탑엔지니어링,",광주 서구 농성동 유탑 유블레스 도시형생활주택,05,0502,광주광역시,광주 서구,"최저 14 층 ~ 최고 14층, 1동",일반분양,298,292,0,0,5141319,20111028,20111028
대방건설(주),"대방건설(주),",광주 수완지구 대방노블랜드C8-2BL,05,0506,광주광역시,광주 광산구,"최저 -2 층 ~ 최고 25층, 8동",일반분양,557,545,0,0,6421798,20110316,
(주)광신주택,"(주)광신종합건설,",방림동 광신프로그래스 신축공사,05,0503,광주광역시,광주 남구,"최저 14 층 ~ 최고 15층, 4동",일반분양,258,258,0,0,6893336,20110930,20111010
(주)디아크주택건설,"(주)가도건설,",쌍촌동 가도스타디움 도시형생활주택,05,0502,광주광역시,광주 서구,"최저 4 층 ~ 최고 4층, 1동",일반분양,96,96,0,0,8373759,20110923,20111010
대방산업개발(주),"대방건설(주),",광주 수완지구 13블럭 대방 노블랜드 아파트,05,0506,광주광역시,광주 광산구,"최저 16 층 ~ 최고 24층, 10동",일반분양,666,659,0,0,6950110,20130408,20110901
대성건설(주),"대성베르힐건설(주),",수완지구 대성베르힐 신축공사,05,0506,광주광역시,광주 광산구,"최저 20 층 ~ 최고 25층, 5동",일반분양,419,410,0,0,6885048,20120720,
(합)광명주택,"(합)광명주택,",풍암동 광명메이루즈,05,0502,광주광역시,광주 서구,"최저 12 층 ~ 최고 15층, 7동",일반분양,281,281,0,0,6326007,20110810,20110816
(합)중흥주택,"중흥건설(주),중흥토건(주)",하남 2지구 중흥에스클래스,05,0506,광주광역시,광주 광산구,"최저 18 층 ~ 최고 20층, 12동",일반분양,823,801,0,0,6474084,20110705,20110725
