Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),"BS_Accounts Receivable - Trade, Gross",BS_Additional Paid-In Capital,BS_Cash & Equivalents,BS_Compensation Rate - Domestic,BS_Construction in Progress - Gross,BS_Earnings Quality Score,BS_Expected Rate of Return - Domestic,BS_Income Taxes Payable,BS_Land/Improvements - Gross,BS_Long Term Investments,BS_Notes Receivable - Short Term,BS_Number of Common Shareholders,BS_Other Current Assets,BS_Other Current Liabilities,"BS_Other Equity, Total",BS_Other Long Term Assets,"BS_Other Long Term Assets, Total",BS_Other Long Term Liabilities,BS_Pension Benefits - Overfunded,BS_Pension Benefits - Underfunded,BS_Prepaid Benefits - Domestic,BS_Provision for Doubtful Accounts,BS_Receivables - Other,BS_Restricted Cash - Current,BS_Total Common Shares Outstanding,BS_Total Funded Status,CAPEX(천원),CF_Accounts Payable,CF_Cash from Financing Activities,"CF_Investment, Net",CF_Net Changes in Working Capital,CF_Options Exercised,CF_Other Financing Cash Flow,CF_Other Investing Cash Flow,CF_Other Non-Cash Items,CF_Purchase of Fixed Assets,CF_Purchase of Investments,CF_Sale/Maturity of Investment,CF_Total Cash Dividends Paid,CF_Unusual Items,EBITDA2증가율(YoY)(비율),"EPS(지배, Adj.)(원/주)",EPS증가율(YoY)(비율),"FS_Accounts Receivable Turnover, TTM","FS_Average Receivables Collection Days, TTM",FS_Dividend Coverage - %,"FS_Dividend Yield - Common Stock - Net - Issue Specific - %, TTM.2","FS_Dividend Yield - Common Stock - Net - Issue Specific - %, TTM.3",FS_Free Cash Flow Net of Dividends,FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Market Capitalization,FS_Net Cash Flow from Operating Activities,FS_Operating Profit before Non-Recurring Income/Expense,"FS_Reinvestment Rate - %, TTM",FS_Shares used to calculate Diluted EPS - Total,"FS_Tax Complement, TTM",Free Cash Flow2(천원),Gross Investment (GI),"IS_Amort of Intangibles, Supplemental",IS_Compensation Rate - Domestic,IS_Current Tax - Domestic,IS_Deferred Tax - Domestic,IS_Deferred Tax - Total,IS_Expected Rate of Return - Domestic,IS_Income Tax - Total,IS_Interest/Invest Income - Non-Operating,"IS_Other, Net",IS_Provision for Income Taxes,"IS_Rental Expense, Supplemental","IS_Research & Development Exp, Supplemental",IS_Selling/General/Administrative Expense,IS_Total Plan Expected Return,IS_Total Plan Interest Cost,IS_Total Plan Other Expense,IS_Total Plan Service Cost,IS_Unusual Expense (Income),ROE(지배)(비율),ROGI(%),단기투자자산,매입채무회전율,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출총이익(천원),무형자산회전율s,부채비율(비율),비유동비율(천원),순부채(천원),순이익률(비율),순이익증가율(YoY)(비율),영업이익증가율(YoY)(연도),운전자본증감(천원),유동비율(비율),유형자산감상비 누계,인당매출s,인당영업이익s,자기자본비율,자본금(천원),재고자산회전율(비율),투자비 대비 매출 (Rev/GI)s,EV_EBITDA
2012-04-01,5.13259407120425,-0.188992209536714,1263,557,2810,0.073,189,96,0.094,374,130,10,42,480619,12,308,60,21,80,21,11,0,0,-20,128,158,4571,0,81.26,3.5,-393.7,0.0,-134.1,0.0,-55.2,-10.4,163.0,-81.2,-891.4,496.9,-338.5,-0.4,0.1224456265018175,0.09,0.125,4.1,89.37,200.455,2.38,1.88,-13.54,27.77,32.96,34.73,25833.31,406.65,499.59,20.13,4571.19,0.71,320.2,3143,1.1,0.073,135.6,1.5,1.7,0.095,326.1,87.5,0.7,163.0,10.9,39.3,104.9,-2.8,2.0,-0.2,14.6,0.0,28.92,0.6569100595424632,3642,134.5625,1781.7,39.58,0.0633840644583707,705.2,794.1777777777777,17.48228703246004,0.2482701812191104,-3642,23.8,0.100129701686122,0.1418764302059496,-232.7,5.47,-699,0.0511730767961799,0.0150207844934089,85.11921458625525,52,0.3168593277609817,2.30462064252432,10.72
2012-07-01,3.769046598581712,-0.3798974345643666,1286,585,2877,0.073,228,90,0.094,363,141,14,52,462379,40,294,55,32,99,13,11,0,8,-21,132,159,4571,8,82.61,1.1,-389.5,0.0,-129.6,0.2,-54.6,4.0,316.9,-163.7,-1759.8,857.8,-335.0,-0.4,-0.0528409503741917,0.09,0.0,4.34,84.25,274.83,2.36,1.89,369.1,28.28,33.51,34.8,27412.33,451.71,471.5,20.24,4571.19,0.71,676.8,3412,1.3,0.073,146.3,-5.8,-2.4,0.095,339.1,118.4,9.8,169.5,11.4,45.4,105.3,-2.5,2.0,-0.2,5.3,0.0,28.46,0.6372035725284878,4206,221.52,1789.4,38.1,0.0108462320641735,681.8,796.3111111111111,15.63967136150235,0.2397300469483568,-4206,24.03,0.0321651464234276,-0.054552747693542,-425.6,5.99,-783,0.0495713172256187,0.0143522330405523,86.47551382897741,54,0.2863956466069142,2.254696490411648,10.35
2012-10-01,3.56717752513631,-0.3121470862130483,1286,562,2305,0.073,275,85,0.094,369,141,13,47,471527,14,306,68,33,110,18,11,0,7,-21,142,156,4571,7,105.66,2.0,-590.2,0.0,-97.0,0.2,-80.5,-1.5,452.5,-269.3,-3193.5,1912.8,-493.5,-0.4,-0.1090559265307443,0.1,0.0,4.13,88.7,214.64,2.58,2.02,239.41,25.5,30.51,33.42,24093.67,503.56,494.51,19.36,4571.2,0.72,1058.5,3618,5.2,0.073,148.7,-16.3,-18.8,0.095,299.5,90.3,2.6,149.8,12.2,45.4,100.3,-3.0,1.3,-0.2,12.9,0.0,27.22,0.6054711246200608,4026,86.60714285714286,1925.0,37.01,0.0504201680672269,712.5,806.5777777777777,16.75961256237159,0.274434986791899,-4026,22.73,-0.0641711229946524,-0.1347567378368919,-565.6,5.49,-809,0.0483966025307679,0.0132805312212488,85.64605329311212,52,0.3162997042392376,2.16805482440751,9.44
2013-01-01,3.397881697644513,-0.2577790571526439,1322,569,3394,0.073,306,86,0.094,374,157,73,43,415844,54,316,57,44,136,27,11,0,7,-18,147,197,4571,0,113.72,22.8,-590.8,-69.7,-179.6,0.2,-80.6,-14.7,588.1,-354.8,-4049.8,3802.4,-494.0,-0.2,-0.1031548972965464,0.1,0.0,4.21,87.01,154.45,2.24,1.59,310.32,23.66,30.0,31.69,30416.03,424.04,454.5,19.14,4571.22,0.74,1359.4,3845,0.6,0.073,115.4,-7.2,-5.2,0.095,137.0,123.1,1.3,137.0,11.3,43.9,100.4,-3.0,1.3,-0.2,12.9,0.0,25.72,0.5420220276757979,4286,35.87428571428571,1929.7,34.93,0.0944926549827009,674.1,825.0888888888888,16.4620840152755,0.2772776868521549,-4286,22.9,-0.0420550617819207,-0.137898330804249,-785.1,5.62,-775,0.0489576893824927,0.0126663928073852,85.8648553694812,53,0.2966031355671688,2.125256394517097,12.27
2013-04-01,4.222979474436512,-0.1772231710025564,1395,519,2931,0.073,326,88,0.094,434,143,87,57,439371,33,369,93,25,111,33,11,0,2,-23,148,181,4571,2,88.03,-20.6,-323.4,-69.7,-126.4,0.2,-47.1,-21.5,161.3,-87.9,-1045.1,918.1,-276.3,-0.2,-0.1136442647247177,0.08,-0.111111111111111,3.84,95.44,167.475,1.7,1.68,66.16,29.67,25.93,29.86,23988.19,430.82,427.23,18.25,4571.22,0.73,336.3,3697,3.0,0.073,139.1,-3.8,-3.6,0.096,310.5,102.1,1.3,155.3,13.6,44.2,103.0,0.0,0.0,0.0,7.9,6.8,24.74,0.5567543859649123,3907,108.65,2017.6,32.55,0.1324016388842115,713.8,851.3000000000001,18.99662608185419,0.2819422033152413,-3907,18.24,0.0023579344494222,-0.0440881763527054,-219.4,5.0,-761,0.0499557587140273,0.0123838593814013,84.03599605522683,48,0.3259450726978999,2.104117405297867,10.56
2013-07-01,3.559368814702744,-0.0556315180496495,1359,494,2976,0.073,322,98,0.094,449,151,165,47,385903,34,447,123,26,115,44,11,0,5,-26,151,173,4571,5,113.19,-4.6,-306.4,-69.7,32.1,0.2,-44.6,8.7,312.2,-202.2,-2056.7,1678.7,-261.8,-0.2,-0.1072243637688663,0.07,-0.2222222222222221,4.01,91.26,180.5,1.58,1.5,447.92,31.19,23.25,28.62,27513.16,561.11,411.75,17.13,4571.22,0.74,780.9,3624,2.9,0.073,140.8,-2.9,-21.3,0.096,303.2,80.3,1.9,151.6,10.2,42.7,133.8,0.0,-0.3,0.0,0.8,7.4,23.94,0.5393973848777714,4086,84.03125,2090.6,33.12,0.1683245780708615,746.1,884.7666666666668,21.69756662804171,0.2954808806488992,-4086,16.0,-0.0974418604651162,-0.0294866355536699,-250.7,4.41,-778,0.0513683866647358,0.0121608821771435,82.1709116876934,46,0.3286073561773027,2.15655064313653,12.33
2013-10-01,3.674035011686072,0.0299557523551279,1476,500,3078,0.073,302,93,0.094,484,184,203,44,368226,47,403,117,22,133,49,11,0,11,-29,156,199,4571,11,122.82,9.0,-524.2,-156.6,-30.0,0.2,-76.6,0.7,488.0,-325.7,-3004.2,2756.0,-447.7,-0.2,0.0748947444831591,0.1,0.0,4.14,88.33,180.2975,1.37,1.32,149.61,27.94,30.63,28.74,32228.31,456.58,534.05,17.89,4571.22,0.73,1098.6,3918,3.1,0.073,156.9,-12.1,-8.7,0.096,359.9,116.0,1.9,179.9,4.4,31.8,107.0,0.0,-0.2,0.0,4.0,8.1,24.46,0.5141188959660297,4186,46.02758620689655,2102.1,36.7,0.0919999999999998,767.4,904.4444444444443,20.78263274336283,0.3042035398230089,-4186,22.07,0.0605714285714285,0.0637135922330096,-509.5,4.53,-840,0.0519503727152047,0.0122211018074134,82.79336004579278,46,0.3216679418515684,2.161012467077909,13.68
2014-01-01,3.813784363950078,0.1224005728609909,1427,515,3670,0.08,305,99,0.094,516,130,209,38,368226,64,103,95,27,140,54,2,0,2,-36,175,216,4571,2,128.31,5.1,-520.4,-155.0,6.5,0.2,-75.7,-7.1,663.0,-454.5,-3992.8,3781.0,-444.7,0.0,0.1595678773329205,0.11,0.0999999999999998,4.36,83.93,180.095,0.62,1.43,468.2,27.59,32.09,29.34,31260.73,596.83,540.45,16.1,4571.22,0.72,1563.4,4096,3.1,0.073,151.8,-9.9,-6.6,0.096,184.7,133.3,4.5,184.7,38.6,30.0,111.0,0.0,-0.2,0.0,4.0,8.9,24.39,0.5095328044326911,4781,45.03103448275862,2085.5,37.73,0.0807379385396693,779.6,921.7555555555556,20.03534907208686,0.2952909986112864,-4781,23.24,0.0966281964245305,0.1694169416941693,-635.7,4.71,-921,0.0526362807262861,0.0126339206964929,83.30879259570888,48,0.2909052866508579,2.168295178746878,11.68
2014-04-01,4.129774410600194,-0.022070925137223,1582,515,3638,0.08,319,85,0.094,630,216,217,47,384374,47,115,94,27,139,59,1,0,1,-55,195,220,4571,1,74.28,-8.7,-480.7,0.0,-146.2,0.2,-75.7,1.5,185.5,-74.3,-1055.3,999.9,-480.7,19.1,0.2076710292721191,0.11,0.375,4.03,90.89,179.89249999999998,1.96,1.92,-77.79,28.56,31.64,30.65,30980.59,477.29,546.55,17.84,4571.22,0.73,391.2,4222,3.0,0.08,155.4,-3.0,-3.7,0.096,386.1,137.5,1.2,193.0,13.5,27.6,114.7,0.0,-0.2,0.0,4.0,9.4,26.06,0.5267836848086879,4684,78.61764705882354,2136.0,37.48,0.0586835844567803,799.6,934.911111111111,21.83908045977012,0.3013767841354048,-4684,22.6,0.1354975299929428,0.1259958071278826,-260.3,4.37,-951,0.053076029388753,0.0129380537479301,82.0754716981132,48,0.2942148760330578,2.128476754011086,10.97
2014-07-01,3.637436347537533,0.0219329709560622,1526,499,3953,0.08,265,84,0.094,615,247,213,51,384374,17,97,83,26,144,63,9,0,9,-66,207,213,4571,8,93.95,-3.3,-478.1,0.0,-8.5,0.2,-75.7,25.3,398.7,-168.3,-2005.8,1869.5,-478.1,28.1,0.3599200893624335,0.11,0.5714285714285714,3.98,92.01,179.69,1.97,1.89,628.45,28.99,32.68,31.74,34581.74,722.9,585.02,16.46,4571.23,0.72,1003.7,4012,2.6,0.08,163.6,1.2,-4.0,0.096,417.4,142.3,2.5,208.7,12.9,26.7,124.8,0.0,-0.2,0.0,4.0,9.9,25.4,0.5777632268203248,5160,61.1,2202.9,39.12,0.0537166363723333,858.7,947.3888888888888,21.93658954584405,0.2883202742409403,-5160,23.2,0.3171862921927338,0.2570491803278689,-335.4,4.42,-964,0.0534669533386485,0.013603538283935,82.00983836964161,46,0.2896266105706022,2.100678141020037,12.32
2014-10-01,3.97301888094951,0.0813775231625322,1509,445,4372,0.08,245,98,0.094,607,149,214,51,448236,10,162,84,28,132,10,3,0,3,-71,209,211,4571,3,93.5,3.3,-812.2,-0.2,43.0,0.2,-75.7,45.8,615.7,-262.0,-2768.2,3019.7,-812.2,20.9,0.0951359929766508,0.11,0.0999999999999998,3.99,91.62,171.75,1.88,1.79,203.14,28.24,32.83,32.32,35764.56,628.96,605.87,16.65,4571.31,0.72,1522.3,3975,2.9,0.08,159.7,4.4,4.5,0.096,413.0,132.6,3.1,206.5,12.4,29.4,122.9,0.0,-0.2,0.0,3.9,10.2,25.34,0.577144305080451,5263,48.43214285714286,2227.5,39.48,0.0596546310832024,871.4,961.3222222222224,22.07887049659201,0.2878529698149951,-5263,23.56,0.1308189655172414,0.1325347024149079,-501.0,4.27,-983,0.0539378448302733,0.0139602880209469,81.91425722831505,91,0.2906066536203523,2.124531762910297,12.78
2015-01-01,4.121489306867973,0.0806823127774309,1618,451,4147,0.08,231,98,0.094,598,152,231,99,448236,18,205,65,28,119,7,4,0,3,-59,219,58,4571,3,105.27,-2.8,-807.4,-0.2,-185.0,0.2,-75.7,30.1,828.6,-367.6,-3913.6,4267.2,-807.4,28.0,0.021003773332888,0.11,0.0,3.95,92.61,163.81,1.67,1.62,-112.82,28.46,32.28,32.37,40704.7,-7.55,566.03,14.11,4571.36,0.71,1391.4,4906,2.2,0.08,33.1,2.6,15.4,0.096,198.0,138.4,3.1,198.0,11.7,26.4,152.0,0.0,-0.2,0.0,3.7,11.7,24.11,0.511730726505221,4958,59.17272727272727,2155.1,39.07,0.0333732917765523,853.3,969.0555555555557,21.16696997270246,0.3497099965881952,-4958,23.09,0.0270326042096573,0.0428974600188145,-1289.5,4.15,-1031,0.053168269769192,0.0137928893852887,82.53074251384587,92,0.2843890208498284,2.054654924042711,14.69
2015-04-01,4.650658826683443,0.1261290240808932,1716,352,3828,0.08,247,94,0.094,683,152,231,166,448236,22,329,84,34,118,18,3,0,3,-58,219,57,4571,3,105.6,8.4,-531.3,-0.2,-160.2,0.2,0.0,0.2,186.7,-105.6,-1312.8,1333.4,-531.3,-0.6,0.0307168985675703,0.1,-0.0909090909090908,3.9,93.83,155.87,2.29,2.13,-286.03,27.94,29.29,31.73,35553.63,350.9,553.58,14.52,4571.34,0.72,242.0,5087,5.1,0.08,142.2,7.1,6.6,0.096,370.9,107.5,12.2,185.5,12.8,25.3,126.1,0.0,0.0,0.0,4.6,9.5,24.6,0.4963583628746374,4484,46.14516129032258,2265.6,36.8,0.0606741573033706,835.1,983.4555555555556,25.1151257527453,0.389066005431574,-4484,21.11,-0.0091153925833851,0.0130329547570284,-366.2,3.54,-1055,0.0527110411528632,0.0135326860855879,79.9263873159683,180,0.3103136556636077,1.994104112148822,12.77
