Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),BS_Additional Paid-In Capital,BS_Contract Assets - Long Term,BS_Deferred Income Tax - Current Liability,BS_Deferred Income Tax - LT Liability,BS_Deferred Revenue - Long Term,BS_Earnings Quality Score,BS_LT Investments - Other,BS_Long Term Investments,BS_Minimum Pension Liability Adjustment,BS_Minority Interest - Non Redeemable,BS_Note Receivable - Long Term,BS_Oper. Lse. Pymts. Due in Year 6 & Beyond,BS_Operating Lease Payments Due in Year 1,BS_Other Comprehensive Income,"BS_Other Current Assets, Total",BS_Other Current Liabilities,BS_Other Equity,"BS_Other Equity, Total",BS_Other Long Term Assets,BS_Other Long Term Liabilities,BS_Other Property/Plant/Equipment - Gross,"BS_Property/Plant/Equipment, Total - Gross",BS_Shares Outs - Common Stock Primary Issue,BS_Short Term Investments,BS_Total Common Shares Outstanding,BS_Total Long Term Debt,"BS_Total Operating Leases, Supplemental",BS_Translation Adjustment,BS_Treas Shares - Common Stock Prmry Issue,BS_Treasury Stock - Common,CAPEX(천원),CF_Accounts Payable,CF_Accounts Receivable,CF_Accrued Expenses,CF_Cash Interest Paid,CF_Cash Taxes Paid,"CF_Issuance (Retirement) of Debt, Net","CF_Issuance (Retirement) of Stock, Net","CF_Long Term Debt, Net",CF_Net Cash - Beginning Balance,CF_Net Change in Cash,CF_Non-Cash Items,CF_Other Assets,CF_Other Financing Cash Flow,"CF_Other Investing Cash Flow Items, Total",CF_Other Liabilities,CF_Other Non-Cash Items,CF_Purchase of Fixed Assets,CF_Purchase of Investments,CF_Repurchase/Retirement of Common,CF_Sale of Business,CF_Sale/Maturity of Investment,"CF_Short Term Debt, Net",CF_Total Cash Dividends Paid,EBITDA2마진율(비율),"FS_Average Net Trade Cycle Days, TTM","FS_Average Payables Payment Days, TTM",FS_Earnings Retention Rate,"FS_Free Cash Flow Yield - %, TTM",FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Interest Coverage Ratio,FS_Net Cash Flow from Operating Activities,"FS_Payables Turnover, TTM","FS_Pretax ROA - %, TTM",FS_ROIC,"FS_Reinvestment Rate - %, TTM","FS_Tax Complement, TTM",FS_Total Debt Percentage of Total Equity,FS_Working Capital to Total Assets,Free Cash Flow2(천원),Gross Investment (GI),IS_DPS - Common Stock Primary Issue,"IS_Depreciation, Supplemental",IS_Dilution Adjustment,IS_Dividends per Share - Com Stock Issue 3,IS_Gross Dividends - Common Stock,"IS_Interest Expense, Net Non-Operating","IS_Interest Expense, Supplemental",IS_Interest Income - Non-Operating,IS_Interest/Invest Income - Non-Operating,IS_Investment Income - Non-Operating,"IS_Minority Interest, Supplemental","IS_Other, Net",IS_Provision for Income Taxes,Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),단기투자자산,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),비유동비율(천원),순부채(천원),순이익률(비율),운전자본증감(천원),유동비율(비율),유형자산감상비 누계,이익잉여금(천원),이자보상율,인당매출s,인당순이익s,인당영업이익s,재고자산회전율(비율),채무총계,총자산회전율(비율),현금배당성향(%),EV_EBITDA
2007-07-01,11.85998658239479,-0.0889324356130832,0,10,39,32,303,94,82,82,-425,740,64,421,217,84,726,260,649,734,381,536,2364,2364,596,231,759,3,1231,-414,39,-1033,137.35,107.5,-418.4,366.1,24.8,798.3,-25.9,-1819.7,-24.4,3067.0,247.4,798.3,-356.7,10.9,13.9,384.0,771.9,-364.4,-693.7,-2307.9,0.0,885.5,-1.5,-293.1,17.23,38.53,24.68,1.0,6.38,36.98,13.39,13.3,52.27,777.04,14.83,25.87,45.22,52.28,0.66,0.94,0.1,2266.2,276,0.0,116,105,0.68,0,-6,6,43,48,5,-114,0,253,0.1164543333931455,17.02,62.82,14.86135693215339,3546,5573,31.2,0.2697653223969014,-13.3197896749522,1594,326,-177,65.8036809815951,420.9403780901599,1.345613184682501,-2779,8.44,252.3,1.16,-1556,2363,1528.571428571429,0.1327,0.0076697478991596,0.0154336134453781,0.6991594530171873,26,1.95,0.0,8.79
2007-10-01,11.89942039938916,0.0736321661217669,51,10,46,27,303,94,69,69,-425,685,60,421,217,109,759,260,621,730,883,1542,2462,2462,598,149,754,2,1231,-414,42,-1205,87.64,87.6,-415.6,-139.6,24.8,798.3,-18.2,-470.1,-21.0,3314.4,-842.0,190.5,-68.5,30.7,51.4,-201.6,182.2,-88.8,-19.1,-619.2,1.8,120.0,2.8,-333.7,17.36,48.34,22.73,0.12,6.94,34.64,13.63,13.35,68.06,-31.47,16.1,27.56,53.42,58.93,0.66,0.32,0.15,-120.3,1154,0.42,125,120,0.68,334,-5,5,38,43,5,-124,9,268,0.1204523107177974,18.26,72.69,3.00969766115231,2622,6102,30.05,0.1811846689895471,-14.68238691049086,1705,326,-177,68.67484662576688,447.2505091649695,1.614365766683648,-1928,8.91,-695.7,1.26,-1627,2387,1910.526315789474,0.1316941176470588,0.0078823529411764,0.0153470588235294,0.8051194088929938,8,2.07,0.6600790513833992,7.27
2008-01-01,10.09287069592065,-0.1317869917617677,0,10,45,38,303,94,69,69,-425,697,54,421,217,140,795,260,696,836,960,1523,2527,2527,591,74,743,3,1231,-414,51,-1499,72.36,-27.0,-196.5,-324.4,24.8,798.3,-17.6,-966.2,-20.6,3314.4,-730.3,425.0,-132.5,14.0,-9.5,-36.1,410.9,-167.3,-19.7,-1168.4,-1.8,202.2,3.0,-333.7,15.43,45.14,22.03,1.0,6.92,17.82,11.58,13.12,41.9,723.99,16.61,27.53,53.84,59.83,0.69,0.33,0.14,525.2,1305,0.0,111,124,0.68,0,-8,8,24,25,1,-127,-6,116,0.106305711455926,19.0,72.24,2.991189427312775,2658,6058,29.46,0.1719868446508028,-30.8295165394402,1653,326,-177,71.40184049079755,421.9138755980861,1.582775119617225,-1952,9.51,-736.0,1.26,-1687,2753,3752.941176470588,0.1338581277672359,0.0083234661606578,0.0154889310562934,0.7971052631578948,9,2.1,0.0,7.17
2008-04-01,9.081504486733914,-0.2578056555655639,0,10,51,39,303,94,25,25,-425,724,53,421,217,146,801,260,786,932,1006,1612,2551,2551,601,28,737,2,1231,-414,48,-1451,63.48,3.9,-469.0,-29.3,24.8,798.3,-19.9,-1289.4,-21.1,3314.4,12.0,677.5,-197.4,5.8,35.5,173.6,659.0,-233.6,-19.3,-1652.4,1.8,287.3,1.2,-333.7,18.08,46.53,21.93,1.0,6.4,30.79,14.39,13.27,97.36,1080.05,16.69,27.18,55.24,60.78,0.7,0.21,0.17,1538.9,1025,0.0,118,134,0.68,0,-4,4,24,24,0,-138,-4,270,0.1315031093584104,18.92,72.48,4.488372093023256,3355,6593,31.51,0.1892135642135642,-14.05756929637527,1923,326,-177,74.61963190184049,383.6444805194805,1.340503246753247,-2624,9.96,-494.7,1.32,-1732,2983,4310.0,0.1366925996204933,0.008815559772296,0.0161115749525616,0.765381936382633,7,2.05,0.0,7.51
2008-07-01,9.80372906194479,-0.1733777273831278,0,10,57,32,556,94,19,19,-425,652,44,875,427,6,1021,260,820,826,383,1840,2426,2426,613,20,731,2,2260,-414,46,-1406,86.05,34.2,-762.2,465.2,22.9,946.9,-18.0,-1820.3,-22.0,3314.4,288.4,376.6,-449.8,10.4,-3.6,417.3,353.7,-320.4,-27.7,-2261.2,1.8,309.5,4.0,-333.7,17.72,41.66,22.62,1.0,7.29,31.8,13.45,13.29,76.31,1030.68,16.18,26.85,57.17,59.0,0.71,0.26,0.19,2482.9,729,0.0,137,108,0.68,0,-5,5,29,29,0,-115,-2,257,0.1204084743179393,18.99,73.49,6.039800995024875,3623,6561,31.75,0.1772833303427239,-8.607976908947782,1905,326,-177,77.65030674846625,387.9574970484061,1.27508854781582,-2963,9.17,-172.0,1.34,-1626,3121,3270.833333333333,0.139184440227704,0.0092895635673624,0.0165555344718532,0.7163445791025221,8,2.02,0.0,7.12
2008-10-01,9.959258925056169,-0.1630467206984793,180,10,49,31,524,94,12,12,-425,533,34,875,427,-323,890,260,814,491,368,1802,2279,2279,607,13,721,1,2260,-414,57,-1778,71.13,-101.0,-111.2,-73.6,22.9,946.9,-5.3,-558.4,-0.5,3602.8,-819.8,206.9,25.2,14.2,12.1,-42.1,203.8,-71.9,-0.2,-690.0,2.2,10.7,-4.8,-378.4,17.56,43.63,20.7,0.21,11.91,26.63,13.43,13.24,120.28,468.13,17.68,28.99,69.15,69.97,0.73,0.09,0.17,396.3,999,0.5,120,108,0.68,378,-3,3,22,24,1,-113,-26,215,0.1264101375367022,21.08,88.73,2.896423594983744,2796,6471,31.36,0.0604719764011798,-58.19244604316547,1888,326,-177,78.78220858895706,427.6061776061776,1.496621621621622,-2260,9.86,-317.1,1.3,-1544,3180,4075.0,0.1380806451612903,0.0096290322580645,0.0166666666666666,0.8263312476056698,2,2.19,0.6374367622259697,5.14
2009-01-01,8.13218883532787,-0.1942640423784736,46,10,47,34,523,94,12,12,-425,521,29,875,427,-377,909,260,869,492,356,1689,2283,2283,613,13,718,1,2260,-414,55,-1745,51.69,-269.1,410.6,-447.7,22.9,946.9,-6.2,-834.5,-1.4,3602.8,-624.8,257.0,-42.0,-8.7,11.5,-141.8,266.9,-124.5,-1.1,-1046.8,2.2,11.6,-4.8,-378.4,17.75,41.67,19.15,1.0,12.52,28.12,13.27,13.65,103.37,630.64,19.11,29.74,63.73,63.3,0.71,0.05,0.2,974.3,1149,0.0,135,87,0.68,0,-3,3,11,11,0,-91,14,197,0.1173559561682573,21.0,80.21,2.557457212713937,2991,5658,30.81,-0.0660283922086497,13.77983438869946,1622,326,-177,77.55521472392638,342.4559932942162,1.269907795473596,-2469,9.54,-472.6,1.38,-1575,3593,8462.5,0.1374768543830873,0.0097628941133588,0.017061417896847,0.7516939019529693,2,2.18,0.0,4.61
2009-04-01,6.081173103059698,-0.3303782306177399,0,10,42,45,553,94,9,9,-425,658,97,875,427,-170,868,260,978,808,375,1772,2435,2435,614,9,713,1,2260,-414,58,-1817,42.05,-334.4,567.1,-389.6,22.9,946.9,-6.3,-988.6,-1.5,3602.8,399.7,712.2,-98.1,-13.6,18.5,-122.0,719.0,-168.1,-1.7,-1330.3,2.2,20.2,-4.8,-378.4,18.81,45.99,20.93,1.0,12.15,28.25,14.53,13.65,111.91,1014.62,17.49,25.79,52.66,51.41,0.71,0.05,0.23,1945.3,835,0.0,116,88,0.68,0,-3,3,9,8,0,-93,11,211,0.1329239660465956,18.38,65.39,3.232258064516129,4012,5537,32.47,-0.1601698771424238,9.763710104038088,1671,326,-177,74.3159509202454,300.9491525423729,1.086130891827738,-3352,10.43,-306.5,1.46,-1718,3958,14640.0,0.1333131036996537,0.0097498633132859,0.0165626025150355,0.6419710144927536,2,1.89,0.0,4.64
2009-07-01,8.219297554721491,-0.1616151871611383,0,10,21,72,536,94,29,29,-425,551,94,875,427,-227,1079,260,871,644,338,1880,2341,2341,623,8,713,0,2260,-414,54,-1755,73.93,-306.2,982.1,-280.9,14.2,813.2,-7.0,-1450.7,-2.2,3602.8,938.9,785.0,-256.5,-14.2,-1.7,-155.3,535.8,-243.5,-1.8,-1855.4,2.2,22.7,-4.8,-378.4,18.09,45.27,21.54,1.0,11.23,27.58,8.21,12.41,80.01,1046.81,16.99,21.72,48.89,47.57,0.72,0.03,0.22,2916.7,103,0.0,128,47,0.68,0,-4,4,8,8,0,-51,-1,117,0.1226158038147139,15.72,59.15,6.954326923076923,4550,5505,32.27,-0.1609510745313214,5.605335505549333,1660,326,-177,71.07668711656441,332.310405643739,1.151675485008818,-3998,5.95,1.4,1.44,-1640,3947,10500.0,0.1291406050665209,0.0088518316019682,0.0147150537634408,0.6122789456122789,1,1.75,0.0,5.18
2009-10-01,8.38828326934601,-0.1577402161678708,0,10,23,79,537,94,31,31,-425,505,67,875,427,-112,1129,260,849,737,336,1909,2398,2398,632,5,714,1,2260,-414,51,-1672,34.04,-66.4,-238.5,-60.4,14.2,813.2,1.6,-300.0,1.6,4541.7,-541.6,159.0,-59.1,18.1,5.5,-174.1,155.4,-34.8,-0.7,-451.3,2.2,3.2,-4.8,-551.4,18.2,48.85,20.54,-0.24,8.44,30.5,14.03,12.53,83.68,219.11,17.82,22.7,53.22,43.96,0.71,0.08,0.23,184.3,697,0.75,115,74,0.68,471,-4,4,7,7,0,-80,6,230,0.1304801670146138,16.18,63.71,3.331367924528302,4005,5748,33.14,-0.1117292535929532,-24.10062893081761,1784,326,-177,68.85889570552148,333.7842648629406,1.159131363474546,-3498,9.75,-570.4,1.45,-1713,3745,24866.66666666666,0.1268248587570621,0.0087853107344632,0.01454802259887,0.6437451002351887,3,1.81,0.8971428571428571,6.97
2010-01-01,8.994946622980555,0.1060917060736084,0,10,23,75,497,94,30,30,-425,481,63,875,427,-199,1062,260,863,664,323,1879,2308,2308,637,7,710,0,2260,-414,52,-1737,42.64,-29.8,-287.1,-247.8,14.2,813.2,-0.5,-643.2,-0.5,4541.7,-426.9,249.5,-28.8,20.6,1.6,-19.2,243.3,-78.9,-6.8,-885.5,0.0,6.4,0.0,-551.4,17.21,45.09,18.24,1.0,8.83,27.76,12.35,12.3,72.32,659.98,20.06,22.85,49.35,39.69,0.71,0.01,0.25,800.2,676,0.0,119,58,0.68,0,-5,5,7,7,0,-62,-14,178,0.1179126038280968,16.3,57.74,3.084931506849315,4122,5538,32.65,-0.0212089077412512,-19.28944618599791,1690,326,-177,68.49079754601227,301.8249408583981,1.053058465697871,-3640,8.92,-585.9,1.51,-1662,4032,32550.0,0.1220058158856763,0.0084240611498836,0.0139143403123961,0.6311830408023706,0,1.86,0.0,6.78
2010-04-01,8.847772831307141,0.4549450708540839,0,10,26,72,476,94,40,40,-425,465,58,875,427,-279,1007,260,971,692,337,1881,2279,2279,637,8,705,0,2260,-414,55,-1876,56.85,-13.2,-403.2,129.9,14.2,813.2,-0.2,-941.3,-0.6,4541.7,-229.6,326.6,-21.5,43.0,-27.2,-139.6,317.1,-136.6,-11.2,-1332.5,0.0,9.4,0.4,-824.1,18.66,44.04,18.41,0.44,9.23,29.85,14.42,12.32,195.8,960.92,19.88,22.07,45.58,29.24,0.71,0.02,0.25,1703.4,508,0.38,116,67,0.68,239,-2,2,7,7,0,-73,-6,240,0.1350627615062762,15.63,53.48,4.299329858525689,4320,5975,34.67,0.0791042080549033,-14.81894841269841,1932,326,-177,69.83435582822086,297.6643309976643,1.026026026026026,-3855,10.12,-362.2,1.52,-1653,4181,16080.0,0.1200125456962446,0.0083224493187105,0.0137199235626454,0.6756756756756757,1,1.79,0.4237588652482269,6.08
