Date_x,이자보상율,"EPS(지배, Adj.)(원/주)",매입채무회전율,재고자산회전율(비율),당기순이익(천원),유동자산(천원),매출총이익(천원),유동비율(비율),인당매출s,Opex Margin,이익잉여금(천원),매출액(천원),부채총계(천원),매출액증가율(YoY)(연도),영업이익증가율(YoY)(연도),매출액이익률(비율),채무총계,EBITDA2증가율(YoY)(비율),순이익률(비율),순이익증가율(YoY)(비율),ROA(비율),유형자산감상비 누계,영업이익(천원),매출채권회전율,운전자본증감(천원),순부채(천원),ROE(지배)(비율),SG&A,인당순이익s,무형자산회전율s,매출원가(천원),부채비율(비율),EBIT(천원),EPS증가율(YoY)(비율),투자비 대비 매출 (Rev/GI)s,자산총계(천원),영업이익률(비율),Gross Investment (GI),비유동자산(천원),단기투자자산,ROGI(%),무형자산,총자산회전율(비율),비유동비율(천원),자본금(천원),"BPS(지배, Adj.)(원/주)",Free Cash Flow2(천원),인당영업이익s,무형자산감상비 누계,EBITDA2(천원),현금배당성향(%),자기자본비율,EBITDA2마진율(비율),CAPEX(천원),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2008-06-01,1138.628158844765,0.07,165.75,0.3977195371000681,313.4,2938,505.5,4.68,0.05447444481470985,0.3046640992725717,2782,1168.5,628,0.2703848662752772,0.3760907504363002,39.78,0,0.3430586128418462,26.82,0.1916349809885931,30.55,-502,315.4,-124.3085106382979,-28.9,-1432,35.52,149.5,0.01499176242903949,490.6444444444444,663.0,17.79036827195467,315.3,0.1666666666666667,1.844222248515103,4158,27.3,2600,1220,1432,0.5116040254672417,9,2.16,0.3456090651558074,67,6.075432494664102,226.0,0.01537801163573,0,359.98,0.0,84.8965848965849,30.78,80.96,-0.3341935578539015,4.683615790819891,5.926086215680095,4.16,7.01
2008-09-01,2483.221476510067,0.07,132.32,0.4073258869908016,327.7,3044,578.3,3.92,0.05398697827727805,0.3311557383659972,2714,1239.9,777,0.2185749385749387,0.3097345132743363,71.69,0,4.189239912417892,13.22,0.2021276595744679,29.77,-466,370.0,-22.22043010752688,-126.9,-1671,36.01,167.7,0.01481199601174299,515.3555555555556,661.6,22.84622169950015,370.0,0.1666666666666667,1.964710533631727,4178,65.2,2196,1134,1671,0.5941609092935146,9,2.04,0.3334313437224346,61,7.027377533869064,439.6,0.01552508583908457,0,1659.0,0.3994507171193165,81.40258496888464,66.83,89.57,-0.1537700510870404,5.218364845565215,4.72269296456794,3.15,5.58
2008-12-01,16508.69565217391,0.07,211.0333333333333,0.3884251711770459,337.9,3067,558.2,4.98,0.05202386305065416,0.3512129606312432,2952,1191.3,615,0.09736551215917477,0.2057796125754208,71.81,0,3.50150770605316,14.18,0.07989773090444241,30.54,-486,379.7,-24.97484276729559,-181.8,-1742,35.35,140.0,0.01418623268667683,527.1,633.1,17.0549084858569,379.7,0.0,2.039653070736653,4221,66.02,2350,1154,1742,0.574871478511207,9,2.03,0.3200221852468109,59,5.855044561592647,690.4,0.01533003607970434,0,1612.26,0.0,85.42999289267946,67.64,59.12,-0.2005611680357786,4.60888249052676,4.820479411847025,2.36,3.88
2009-03-01,678.1376518218624,0.07,122.68,0.3448359659781288,325.0,3292,521.8,4.3,0.05030291736644626,0.3356236786469344,2977,1135.2,773,-0.007865757734661805,0.006610576923076872,41.92,0,0.03101999304124403,28.62,0.03305785123966931,29.83,-475,335.0,-13.87775061124695,-297.0,-1867,37.37,140.8,0.01383584568906567,526.1,613.4,21.41274238227147,335.0,0.0,2.032328084825992,4383,29.87,2220,1091,1867,0.6326253953908721,9,1.08,0.3022160664819944,57,4.005069365102773,871.9,0.01487543357257769,-2,385.22,0.4790769230769231,82.36367784622405,33.91,62.89,-0.4552301127409263,3.154767708492474,4.59865964210034,9.13,4.2
2009-06-01,615.6648451730418,0.07,322.65,0.3257746886765132,313.5,3453,479.6,4.859999999999999,0.04821725075333595,0.300471152991377,3472,1124.9,681,-0.03731279418057332,0.07165504121750166,42.64,0,0.06736485360297784,27.87,0.0003190810465858451,30.87,-550,338.0,41.81784386617101,-50.4,-1953,35.71,141.6,0.01338893796608926,521.2555555555556,645.3,16.3898916967509,338.0,0.0,1.991217167612534,4836,30.04,2755,1383,1953,0.5313538748832866,9,1.1,0.3328519855595668,60,3.443977694676104,356.7,0.01464026004217078,-3,384.23,0.0,85.9181141439206,34.14,30.24,-0.4331304482930454,3.121668263826181,3.268001349000635,12.36,5.21
2009-09-01,720.3285420944559,0.07,331.85,0.3422951789411416,318.1,3381,493.6,5.42,0.0456575906661728,0.3031193294737752,3656,1157.3,851,-0.06661827566739265,-0.05189189189189181,42.65,0,-0.7549125979505726,27.48,-0.02929508696978933,28.49,-596,350.8,21.08014571948998,-81.3,-1842,34.47,142.8,0.01282908184206394,512.0777777777778,663.7,19.5632183908046,350.8,0.0,1.799081174675732,5201,30.31,3107,1820,1842,0.5293230247029983,9,1.01,0.4183908045977012,60,4.205295604122773,733.1,0.01392839611101899,-3,406.6,0.3731530965105312,83.63776196885215,35.13,36.68,-0.4015839359910606,3.988887020918897,3.098088345144165,15.84,6.29
2009-12-01,815.3191489361701,0.07,233.6333333333333,0.3815594059405941,334.9,3232,532.3,5.98,0.04435479256080115,0.3107362958157638,4111,1233.2,769,0.03517166121044246,0.009217803529101953,43.16,0,-0.7284557081364048,27.16,-0.008878366380585923,26.94,-659,383.2,22.34057971014493,-228.6,-1561,31.37,149.1,0.01231759656652361,516.7333333333333,700.9,15.92132505175984,383.2,0.0,1.605856528248262,5599,31.07,3931,2367,1561,0.4480178315554848,9,0.97,0.490163594947194,62,4.982764538936255,1030.9,0.01341917024320458,-3,437.8,0.0,86.26540453652439,35.5,32.22,-0.1489792286771462,5.245586905636903,3.49678444980889,18.28,6.57
2010-03-01,721.0720887245841,0.08,372.35,0.2779755522196011,348.9,4663,551.5,6.54,0.04491845553906645,0.3009566424934424,4613,1296.2,790,0.1418252290345314,0.1644776119402986,42.55,0,0.1436062509734697,26.92,0.07353846153846155,24.99,-643,390.1,60.85446009389671,-369.9,-3531,29.39,161.4,0.01228394324185573,534.6222222222223,744.7,14.70314535641169,390.1,0.1428571428571428,1.613192651886907,6163,30.1,2499,1500,3531,0.619665183301547,9,0.91,0.2791736460078169,64,6.46870574536795,1323.8,0.01365219396444236,-14,440.54,0.5382631126397249,87.18156741846504,33.98,39.47,0.6151295160407186,7.608659362929508,7.51963745548913,17.1,6.22
2010-06-01,740.7692307692307,0.07,160.16,0.2920154539600773,326.6,4659,559.8,5.98,0.04614540031502801,0.351414920984932,4556,1360.5,830,0.2094408391857052,0.1396449704142011,41.14,0,0.121437680555917,24.01,0.04178628389154704,24.77,-662,385.2,-10.92771084337349,-136.1,-3446,28.49,174.5,0.01216400570435733,560.8,800.8,15.70482497634816,385.2,0.0,1.745834766531165,6115,28.32,2515,1456,3446,0.5727893738140418,9,0.95,0.2754966887417218,62,6.046876545212645,288.0,0.01381354587238937,-14,430.89,0.0,86.42681929681112,31.66,50.95,0.755782726049663,6.994471994188843,5.90281242084533,18.03,6.44
2010-09-01,794.5518453427065,0.08,95.08888888888889,0.2848363774733638,374.3,5256,641.4,6.31,0.04826372590240166,0.3712510854318349,5138,1497.1,890,0.2936144474207205,0.2887685290763968,42.84,0,0.2272011805213969,25.0,0.1766740018861992,23.14,-737,452.1,-7.724974200206398,-344.9,-3902,27.09,189.2,0.01241936711685107,598.5555555555557,855.8,15.06431956668924,452.1,0.1428571428571428,1.916174157828226,6798,30.2,2758,1542,3902,0.5492242114236999,9,0.9,0.2610020311442112,64,5.677442349424986,562.2,0.01444071274596194,-15,498.98,1.32193427731766,86.90791409238011,33.32,67.46,0.3500697415560883,7.339678205777422,6.97468018826622,18.83,6.53
2010-12-01,742.4148606811146,0.09,151.25,0.321230520137624,397.6,4941,679.7,6.23,0.05044992794122816,0.3714087701612903,4923,1587.2,863,0.2870580603308466,0.2515657620041754,42.82,0,0.205710370031978,25.05,0.1872200656912513,23.78,-776,479.6,-7.434192037470726,-577.9,-3556,27.47,200.1,0.01271925199479771,637.8888888888889,907.5,15.15098314606741,479.6,0.2857142857142856,2.143984299003694,6559,30.21,2931,1618,3556,0.4975225881667152,9,0.95,0.2840091276110234,64,6.135283085311662,831.1,0.01500052725930613,-15,527.86,0.0,86.84250647964629,33.25,93.37,0.2313010252379801,7.608659362929508,7.51963745548913,21.03,7.66
2011-03-01,514.9501661129568,0.09,93.66,0.3014095094906972,402.2,5321,667.2,6.51,0.05131896273222242,0.3574011722159871,5352,1603.8,889,0.2373090572442524,0.1920020507562163,41.6,0,0.167090389067962,25.08,0.1527658354829464,23.18,-731,465.0,-4.678529754959159,-917.0,-3752,26.56,202.2,0.01272769257715573,672.0666666666666,936.6,14.49535300831567,465.0,0.125,2.138184575852522,7022,28.99,3127,1701,3752,0.6334518307856382,9,0.93,0.2773520300016305,64,5.999809077547148,1012.7,0.01512696537364027,-15,514.15,0.6320238687220289,87.33978923383651,32.06,74.56,-0.07248693730682754,8.050061052854224,8.907552603204326,18.77,6.69
2011-06-01,446.8302658486708,0.08,204.92,0.300915948275862,385.5,5568,651.0,6.58,0.05217103263328032,0.3279021187705162,5425,1675.5,938,0.2315325248070563,0.1344755970924196,38.85,0,0.1300099793450766,23.01,0.1803429271279853,23.39,-778,437.0,-20.01792114695341,-206.8,-3764,26.99,214.0,0.01280444154662751,707.0666666666666,1024.6,15.10710259301015,437.0,0.1428571428571428,2.114519588315563,7147,26.08,3239,1579,3764,0.6373653110879389,9,0.95,0.2542673107890499,64,6.328661859428341,320.6,0.01508242844668291,-16,486.91,0.0,86.87561214495592,29.06,57.76,0.04660014341433638,8.596513122990718,8.52171193573949,16.29,5.97
2011-09-01,594.2789034564959,0.09,207.38,0.3274509803921569,416.6,5406,733.3,6.05,0.05254660427622317,0.3482092418935713,5331,1770.2,989,0.1824193440651929,0.1028533510285334,41.42,0,0.1032907130546314,23.53,0.1130109537803901,22.3,-756,498.6,-8.013580805794478,-379.3,-3743,25.81,234.7,0.01269975060148483,737.411111111111,1036.9,16.33630657416584,498.6,0.125,2.146065997581464,7043,28.16,3082,1637,3743,0.6439041095890411,9,0.92,0.2704444077317033,58,6.078101928080056,686.9,0.01492087340623629,-15,550.52,0.4522323571771483,85.95768848502058,31.07,78.55,0.07057043541721719,8.050061052854224,8.907552603204326,13.48,4.81
2011-12-01,695.1338199513382,0.1,208.46,0.336010267693436,467.5,5454,790.4,5.75,0.0526073994802018,0.3690385245007093,5188,1832.6,969,0.1546118951612903,0.1914095079232694,43.13,0,0.1716932519986361,25.51,0.175804828973843,23.82,-746,571.4,-4.993460490463215,-631.3,-3680,27.61,219.0,0.01277939153034704,764.6777777777777,1042.3,16.47678966162217,571.4,0.1111111111111112,2.223247911283765,6850,31.18,2962,1396,3680,0.6692686237909384,9,0.98,0.2374149659863946,54,5.185959750460794,1089.4,0.01507414768384039,-15,618.49,0.0,85.85401459854015,33.72,52.28,-0.1547317901473235,6.672200676539036,8.275705998419294,13.66,5.01
2012-03-01,408.3656080557707,0.1,207.1,0.296518668012109,461.3,5946,727.6,6.35,0.05210227632465642,0.3589132777494187,5861,1763.1,961,0.09932659932659926,0.1337634408602151,41.27,0,0.1201594865311679,26.16,0.1469418199900547,23.89,-712,527.2,-4.660586835844567,-920.5,-4069,27.37,200.4,0.01278039443444935,782.3777777777777,1035.5,14.61152501140338,527.2,0.1111111111111112,2.255031151103885,7538,29.9,3237,1592,4069,0.6392834695160275,9,0.97,0.2420188507145029,56,4.577992214298534,1396.2,0.01503445257312917,-17,575.93,0.7931931497940602,87.2512602812417,32.65,114.99,-0.2369770179136907,6.587060773012788,7.80069953823621,13.35,4.93
2012-06-01,570.2857142857143,0.09,134.5625,0.3168593277609817,424.1,5623,705.2,5.47,0.05117307679617993,0.3369254083178987,5402,1781.7,1061,0.06338406445837075,0.1418764302059496,39.58,0,0.1224456265018175,23.8,0.100129701686122,24.84,-699,499.0,-8.325700934579439,-232.7,-3642,28.92,206.2,0.01266104373981819,794.1777777777777,1076.5,17.48228703246004,499.0,0.125,2.30462064252432,7130,28.01,3143,1507,3642,0.6569100595424632,9,1.0,0.2482701812191104,52,5.13259407120425,320.2,0.01502078449340899,-17,546.53,0.0,85.11921458625525,30.64,81.26,-0.188992209536714,6.81463868259431,6.77147768729639,10.72,4.22
2012-09-01,398.1418918918918,0.09,221.52,0.2863956466069142,430.0,6248,681.8,5.99,0.04957131722561874,0.3221750307365597,6122,1789.4,1066,0.01084623206417357,-0.05455274769354201,38.1,0,-0.05284095037419179,24.03,0.0321651464234276,24.54,-783,471.4,-11.17676452217364,-425.6,-4206,28.46,210.4,0.01234329671816032,796.3111111111111,1107.6,15.63967136150235,471.4,0.0,2.254696490411648,7882,26.34,3412,1634,4206,0.6372035725284878,9,0.99,0.2397300469483568,54,3.769046598581712,676.8,0.01435223304055232,-19,521.43,0.363953488372093,86.47551382897741,29.13,82.61,-0.3798974345643666,5.620175369926263,6.60158556063562,10.35,4.05
2012-12-01,547.5083056478405,0.1,86.60714285714286,0.3162997042392376,437.5,6086,712.5,5.49,0.0483966025307679,0.318025974025974,6132,1925.0,1142,0.05042016806722693,-0.1347567378368919,37.01,0,-0.1090559265307443,22.73,-0.06417112299465244,23.34,-809,494.4,-9.219348659003831,-565.6,-4026,27.22,218.1,0.01168646745869835,806.5777777777777,1212.5,16.75961256237159,494.4,0.0,2.16805482440751,7956,25.68,3618,1870,4026,0.6054711246200608,9,0.97,0.274434986791899,52,3.56717752513631,1058.5,0.01328053122124885,-21,551.04,0.0,85.64605329311212,28.62,105.66,-0.3121470862130483,5.317599574771125,5.70880303323677,9.44,3.53
