Date_x,EBITDA2증가율(YoY)(비율),이자보상율,ROGI(%),ROE(지배)(비율),이익잉여금(천원),유동비율(비율),SG&A,부채총계(천원),부채비율(비율),매출원가(천원),자본금(천원),유동자산(천원),CAPEX(천원),현금배당성향(%),"EPS(지배, Adj.)(원/주)",유형자산감상비 누계,인당매출s,인당영업이익s,EPS증가율(YoY)(비율),ROA(비율),순부채(천원),무형자산감상비 누계,매출액증가율(YoY)(연도),Gross Investment (GI),영업이익(천원),투자비 대비 매출 (Rev/GI)s,매출채권회전율,"BPS(지배, Adj.)(원/주)",매입채무회전율,매출액이익률(비율),영업이익증가율(YoY)(연도),비유동자산(천원),단기투자자산,순이익증가율(YoY)(비율),매출총이익(천원),자기자본비율,매출액(천원),무형자산회전율s,비유동비율(천원),재고자산회전율(비율),영업이익률(비율),EBITDA2마진율(비율),총자산회전율(비율),Free Cash Flow2(천원),당기순이익(천원),BPS증가율(YoY)(비율),Opex Margin,채무총계,EBIT(천원),무형자산,운전자본증감(천원),EBITDA2(천원),인당순이익s,순이익률(비율),자산총계(천원),close,close_weighted,EV_EBITDA,PBR
2011-09-01,0.2370236722965635,1789.61038961039,0.5192183070068854,39.44,5178,2.74,1543.7,1878,33.3037772654726,226.0,40,4514,94.67,0.2521619496855346,0.13,-745,0.04973837790628786,0.01363571419737885,0.08333333333333348,30.07,-1211,-43,0.2705241592964573,5095,689.0,1.896976956602185,-32.02392947103274,8.735564140969172,0.3476923076923077,93.79,0.2279451078239172,3003,1480,0.0757219251336898,2316.7,75.01662897432486,2542.7,133.7857142857143,0.5325412307146657,0.5637915742793791,27.1,29.09,1.29,451.5,502.9,0.3264815491815771,0.690879773469147,148,689.0,70,642.3,740.47,0.01147392913545867,20.01,7517,12.58426481476731,11.841134752143,15.88,7.12
2011-12-01,0.2468352476225761,1975.584415584415,0.5581237811762291,38.1,5187,2.81,1501.7,1760,31.40613847251963,257.5,37,4285,109.57,0.2069767441860465,0.14,-726,0.0493877571570987,0.01369037429385642,0.0,29.43,-1114,-43,0.2057542624166049,5141,760.6,1.934187954146363,-32.77707808564232,7.712237054460123,0.3786764705882353,93.18,0.2559445178335535,3079,1245,0.04364254675987156,2345.0,76.09994568169473,2602.5,140.13,0.5494289793004996,0.6079187105816398,29.23,31.0,1.31,711.3,552.4,0.1676184145553465,0.6910662824207493,13,760.6,70,1012.6,807.65,0.01095592455718127,21.48,7364,11.04112417054837,12.31654639240145,16.26,7.41
2012-03-01,0.1381756072141969,1904.415584415585,0.538567335243553,38.56,5252,2.22,1555.9,2310,39.72484952708513,258.5,38,4533,114.52,1.072570937231298,0.15,-791,0.04914387825733792,0.01355578908443613,0.0,28.44,-1138,-43,0.1753449043168669,5382,733.2,1.983270368974266,-33.26196473551637,7.580855169074607,0.4045383411580595,93.92,0.1508397425835819,3592,1292,-0.006204756980351611,2382.5,71.56923076923077,2641.0,190.56125,0.6177128116938951,0.5830022075055188,27.92,29.76,1.32,1038.8,576.6,0.009977425240009774,0.6887921241953805,25,737.4,32,1458.3,786.32,0.01045144934173184,22.02,8125,11.2616678949951,10.86021877051335,15.42,7.49
2012-06-01,0.1814566610206936,1962.077922077922,0.5932258064516128,38.61,5289,2.27,1659.3,2533,43.41045415595544,254.7,35,5134,97.4,0.174891496543964,0.16,-768,0.04852197323500192,0.01353791724551875,0.1428571428571428,27.89,-1553,-34,0.1398485663453184,4960,755.4,2.051415530264589,-34.69647355163728,7.477184286161833,0.3924499229583975,94.66,0.1944971537001898,3234,1715,0.1372802960222017,2500.1,69.72992351816444,2754.9,242.1247321428571,0.5542416452442159,0.5370175438596492,27.42,29.08,1.29,345.9,614.7,-0.07113803553686127,0.6889905259719046,38,755.4,32,443.3,802.15,0.01030655218397027,22.58,8368,11.14586406850457,10.5967988480459,15.33,7.48
2012-09-01,0.0881332126892378,1407.806691449814,0.5374509103891467,39.68,6078,3.13,1692.3,1928,28.96199489259426,294.4,37,5119,100.58,0.1692600825658939,0.16,-854,0.04760450674991526,0.01324345335765218,0.2307692307692308,30.61,-1304,-38,0.1151531836237072,6109,757.4,2.016508882613502,-35.71158690176322,6.358997900135481,0.3994572591587517,93.94,0.09927431059506531,3466,1497,0.2396102604891628,2541.0,77.54222481071636,2835.5,294.4098214285714,0.5206549496770317,0.5543499511241446,26.71,28.41,1.39,711.7,623.4,-0.2720564124402413,0.6799858931405396,57,757.4,32,910.4,805.73,0.01038743225508745,22.21,8585,10.81439020570251,12.02066663371435,14.69,6.98
2012-12-01,0.06595678821271589,2102.337662337663,0.5224726775956284,38.93,6362,3.18,1751.5,1968,28.36143536532641,311.1,36,5263,143.54,0.1634745890514251,0.17,-868,0.04693963945461328,0.01280644471735203,0.2142857142857142,30.31,-1137,-39,0.1402881844380404,6571,809.4,1.961905170541534,-37.37531486146095,6.352885546644883,0.4109643328929987,94.12,0.06415987378385468,3644,1368,0.1866401158580739,2656.6,77.9050185247558,2967.6,349.96875,0.5251477158091944,0.5643971091669836,27.27,29.0,1.36,1210.9,655.5,-0.1762590410818743,0.6871883003100149,93,809.4,32,1553.0,860.92,0.01035362955449466,22.34,8907,11.2616678949951,10.86021877051335,13.79,6.23
2013-03-01,0.08823379794485708,1092.749658002736,0.5162517575055827,40.85,6524,2.69,1790.8,2491,34.98595505617978,320.2,36,5785,143.35,0.6956457345971563,0.17,-922,0.04685072445342776,0.01262544941445135,0.1333333333333335,30.11,-1226,-39,0.1483528966300645,6709,798.8,1.923244882988455,-38.19647355163728,8.87857243907907,0.406861499364676,93.63,0.08947081287506808,3826,1415,0.1574748525841136,2712.6,74.08178129226928,3032.8,362.2125,0.5373595505617977,0.5246151184916105,26.34,28.21,1.35,1651.8,667.4,0.1711834932948435,0.684054339224479,43,798.8,32,2137.2,855.7,0.01035326049534554,22.26,9611,16.14945732838825,14.2231279981935,16.73,7.72
2013-06-01,0.1497226204575204,2043.764705882353,0.5666579062636882,38.96,6439,2.53,1902.6,2668,37.97324224309707,160.9,33,6006,139.12,0.2021629416005768,0.18,-877,0.04696544556134357,0.01260412381605794,0.125,28.02,-1350,-39,0.1691531453047297,6455,868.6,1.866799032684864,-40.56549118387909,7.066322435675612,0.2044472681067344,93.35,0.1498543817844851,3688,1541,0.118431755327802,3060.1,72.47782133278317,3220.9,376.775,0.524907486478793,0.5366377874041987,26.95,28.6,1.27,189.8,687.5,-0.05494873935989664,0.7465925672948553,54,868.6,32,330.0,922.25,0.01026597298955636,21.53,9694,12.67338390122702,11.5421751189061,15.33,6.88
2013-09-01,0.329254216673079,2642.597402597402,0.5333028083028083,39.5,6427,2.95,1902.1,2188,31.05307976156685,147.1,31,5520,113.69,0.167640031855588,0.19,-882,0.04732779255171321,0.01311316323645654,0.1875,30.62,-857,-41,0.1929465702697937,6995,1017.4,1.886221761849384,-42.60201511335012,7.034392296904414,0.1845671267252196,94.09,0.3432796408766834,3714,1009,0.1984279756175811,3235.5,76.30495993069093,3382.6,393.871875,0.5271075787680953,0.6132342277012328,30.06,31.62,1.39,678.4,747.1,0.1062108224244804,0.7569621001596405,35,1017.4,32,931.1,1071.02,0.01035800897424753,22.27,9234,12.6520301529007,12.8382729496185,17.67,8.28
2013-12-01,0.2535311062584213,959.3808630393997,0.5484873141504549,40.16,7244,3.41,1978.1,2176,27.61421319796954,116.2,32,6259,123.48,0.145655681032496,0.22,-943,0.0473312430303118,0.01342343842778317,0.2941176470588234,31.64,-1796,-44,0.157972772610864,6948,1022.7,1.929189374728044,-43.27959697732997,7.061649412335797,0.1393285371702638,94.98,0.2635285396590068,3797,1945,0.3130434782608695,3320.2,78.36117740652347,3436.4,408.521875,0.4818527918781726,0.5493844924060751,29.76,31.4,1.38,1398.8,860.7,0.1115656594923593,0.7523280176929343,26,1022.7,32,1775.0,1079.19,0.01072680270532521,25.25,10056,14.20441541013557,12.9629151239065,17.95,8.45
