Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),CAPEX(천원),EBIT(천원),EBITDA2(천원),EBITDA2마진율(비율),EBITDA2증가율(YoY)(비율),"EPS(지배, Adj.)(원/주)",EPS증가율(YoY)(비율),Free Cash Flow2(천원),Gross Investment (GI),Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),SG&A,단기투자자산,당기순이익(천원),매입채무회전율,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),부채총계(천원),비유동비율(천원),비유동자산(천원),순부채(천원),순이익률(비율),순이익증가율(YoY)(비율),영업이익(천원),영업이익률(비율),영업이익증가율(YoY)(연도),운전자본증감(천원),유동비율(비율),유동자산(천원),유형자산감상비 누계,이익잉여금(천원),이자보상율,인당매출s,인당순이익s,인당영업이익s,자기자본비율,자산총계(천원),재고자산회전율(비율),채무총계,총자산회전율(비율),투자비 대비 매출 (Rev/GI)s,현금배당성향(%),close,close_weighted,EV_EBITDA,PBR
2010-08-01,8.750293063411034,0.0646035144918824,100.89,714,963.61,17.78,0.03530486167069569,0.66,0.6923076923076923,2853.4,-267,0.1224069946854106,16.42,62.8,-35.67073170731707,1131,4841,445,4.506214689265537,5833,34.03,0.05958219800181652,3988,-15.46394485683987,1845,326,-177,70.84049079754601,352.7336860670194,10000,1.153385049365303,3271,-4401,9.41,0.7450980392156863,714,13.17,0.7,26.8,1.46,9564,-1560,4634,14280.0,0.1175039880358923,0.009063143901628448,0.01484704220671319,22.08804051421893,12835,0.6098912588874947,2,1.72,6.354448647847661,0.0,38.94361198551065,38.01000000000001,5.67,8.91
2010-11-01,9.50716473489814,0.1333862281023521,74.76,827,947.34,15.67,-0.03309960500933884,0.81,0.208955223880597,30.9,562,0.1276628589070701,17.09,65.42,4.768864177918983,1117,4164,535,5.502427184466019,6478,32.16,0.127000695894224,4534,-13.32647603373791,1944,326,-177,73.079754601227,342.233676975945,9959,1.16844276383637,3399,-3762,10.02,0.202247191011236,827,13.68,0.1085790884718498,-700.1,1.47,9470,-1639,4860,16540.0,0.1167843137254902,0.009171568627450982,0.01468627450980392,22.61247960214469,12869,0.6840549102428722,0,1.77,9.634367159823237,0.4702970297029703,43.43147469160689,39.87,7.04,10.37
2011-02-01,8.910576199739955,-0.009379758077168288,77.36,772,893.03,14.75,0.00267220569247173,0.75,0.25,553.4,766,0.1188423645320197,17.41,60.25,4.327323162274618,1145,4683,503,5.412529550827423,6496,31.67,0.1729866377753702,4579,-11.3665791776028,1917,326,-177,76.01840490797545,286.6963540217089,10301,1.006123016977456,3615,-4223,9.35,0.2575000000000001,772,12.75,0.1858678955453148,-930.8,1.55,10279,-1674,5368,12866.66666666667,0.1171626786307743,0.00934214024592888,0.01476628447989365,25.86008348927595,13894,0.6319680902811557,5,1.79,9.922477222084735,0.0,49.55990756294994,46.625,8.42,10.06
2011-05-01,9.569919063911437,0.08161898438995152,111.23,950,1080.59,16.08,0.03929866407625049,0.93,0.2739726027397262,1793.7,397,0.1318711826762909,17.75,62.92,7.211049723756906,1360,5261,628,5.6720741599073,7204,34.37,0.2056903765690377,4895,-10.61910377358491,2310,326,-177,79.78834355828221,301.2924071082391,11190,1.011577813677975,3757,-4794,10.4,0.2790224032586559,949,14.13,0.1803482587064678,-465.8,1.51,11147,-1762,5675,13557.14285714286,0.1183988866733134,0.009596294449983382,0.01484629444998338,24.9194847020934,14904,0.6462725396967794,5,1.81,16.30676191634682,0.419170243204578,54.59704977475742,51.58,9.33,10.77
2011-08-01,9.683318164128178,0.1066278687988802,133.61,998,1139.68,17.04,0.1827191498635341,0.91,0.3787878787878787,3038.0,-6,0.1391134652913298,17.88,67.84,-25.98534798534799,1217,5706,612,5.22550052687039,7174,33.13,0.229898851362935,4959,-11.56164383561644,2215,326,-177,83.90184049079755,305.568445475638,11853,1.098478989430266,4261,-5230,10.21,0.3752808988764045,923,14.92,0.292717086834734,38.9,1.45,11471,-1640,6282,11537.5,0.1202040545031572,0.01000814223994683,0.01525731139913592,24.65675057208238,15732,0.6254031906546944,4,1.79,-1157.513462802754,0.0,58.05500951878393,55.875,8.06,9.54
2011-11-01,9.383078254496702,-0.01305189126953388,79.92,982,1114.17,15.75,0.1761036164418266,0.96,0.1851851851851851,394.4,444,0.1293978126235341,18.89,71.45,7.359840954274354,1270,5097,642,5.944320712694878,7589,31.83,0.1715035504785427,5338,-16.33096621476221,2252,326,-177,87.30981595092024,305.9198301035307,11524,1.141263940520446,4298,-4637,10.06,0.2,981,13.87,0.1862152357920193,-424.1,1.45,10993,-1591,6468,743.1818181818181,0.1206059322033898,0.01010593220338983,0.01536016949152542,24.63540644823753,15291,0.6903484035295188,6,1.88,-1151.947810851871,0.6081460674157303,54.88517978988987,52.2,8.73,10.65
2012-02-01,8.035618022250558,-0.09819322094063132,84.43,890,1036.72,15.25,0.1609016494406683,0.97,0.2933333333333332,1166.8,763,0.1224517906336088,18.91,62.67,4.99672988881622,1227,5572,644,5.765695067264574,7260,31.14,0.1176108374384237,5143,-27.45839636913767,2116,326,-177,89.65337423312883,253.8048343777976,11340,0.9516670396061758,4253,-5041,10.51,0.2803180914512922,889,13.09,0.1515544041450778,-585.7,1.53,11555,-1684,7113,17780.0,0.1213295357119304,0.01048041284706193,0.01554812701971905,28.26417004048583,15808,0.6282994374729555,6,1.84,-1150.913156522561,0.0,55.577618147702,56.03,8.6,9.21
2012-05-01,9.713139446124037,0.01496568374885121,89.73,1061,1196.2,16.72,0.1069878492305132,1.03,0.10752688172043,2291.9,313,0.1388561706582908,18.87,66.17,11.07323943661972,1310,5631,689,6.514215080346107,7641,33.14,0.06066074403109378,5270,-16.43579264357927,2371,326,-177,90.99386503067484,278.3731125182659,11430,0.9931807111544082,4078,-5143,10.66,0.09713375796178347,1061,14.83,0.1180189673340357,-175.5,1.51,11458,-1656,7330,13262.5,0.1205356294928444,0.01050032975004946,0.01565534524830179,26.42893923789907,15536,0.6668703089544423,5,1.82,-1144.647111665365,0.5714285714285714,61.7370751792342,63.245,7.96,9.52
2012-08-01,9.009941228360029,-0.06953989576245379,111.92,941,1119.69,16.38,-0.01754001123122284,0.88,-0.03296703296703296,3884.9,-773,0.1291163556531284,17.44,63.64,-9.946084724005134,1308,6643,578,5.574115044247788,7288,32.9,0.01589071647616391,5039,-56.71595330739299,2249,326,-177,91.34355828220859,302.0506634499397,12520,0.983357452966715,4077,-6164,9.31,-0.05555555555555558,940,13.76,0.01841820151679308,569.0,1.55,12588,-1548,7904,11750.0,0.1184953010617952,0.0101561366484205,0.01540191584778738,24.87248724872487,16665,0.5789640927867811,0,1.72,41.59135319017592,0.0,58.7204503011829,57.35,8.17,10.06
2012-11-01,9.564974039479045,0.01938551294668911,85.79,1049,1189.06,16.47,0.06721595447732387,1.06,0.1041666666666667,-195.4,641,0.1368022952529995,18.17,63.1,7.264516129032258,1317,5681,699,5.957303370786517,7668,32.77,0.01040980366319677,5302,-18.32695984703633,2366,326,-177,91.58588957055215,264.0559130241846,11901,0.9749278899489683,4394,-5194,10.61,0.08878504672897192,1049,14.53,0.06931702344546387,-1087.5,1.51,12014,-1638,8060,2558.536585365854,0.1161750972762646,0.0101556420233463,0.01532684824902724,27.46830814236957,16408,0.6382553687364741,0,1.77,36.46156935017368,0.6736292428198434,67.35834061864384,65.19,9.21,10.27
