파일,항목,기간,N,lag=3,lag=2,lag=1,lag=0,lag=-1,lag=-2,lag=-3,lag=-4,lag=-5,lag=-6,lag=-7,lag=-8,lag=-9,lag=-10,lag=-11,lag=-12,lag=-13,highest corr,best lag (highest corr)
생산자물가지수,중후판(두께3mm이상) (2015=100),2011/07 ~ 2021/12,126,0.9043689798201032,0.9137574606014771,0.9051611720814462,0.8832766200074986,0.8530427724852914,0.8164022315775749,0.7673451823924012,0.7128467704207303,0.6478467437893729,0.5857072976139276,0.5272082891449544,0.47597901575920354,0.4225334929462268,0.3792605895468389,0.3419647890856312,0.30551635671897015,0.27291110291999215,0.9137574606014771,2
생산자물가지수,열연강판 (2015=100),2011/07 ~ 2021/12,126,0.7736484730436223,0.7710236718020946,0.757138695566961,0.733123269461117,0.7031450634753649,0.658659090275993,0.6091809155800411,0.5578647718594523,0.50583522298112,0.4599961044934843,0.4184772858801584,0.3750590955357523,0.3276554118099555,0.28247884682658797,0.2362623097597888,0.19060723116351563,0.15027600740045896,0.7736484730436223,3
생산자물가지수,강선 (2015=100),2011/07 ~ 2021/12,126,0.8794234162240714,0.90966276874494,0.9234771475852719,0.9219961269966587,0.9073878867154678,0.8849593184387874,0.8502181599180608,0.8098489338796288,0.7538249689894623,0.6987689825541736,0.6396283285011971,0.5787964626071787,0.5130392223176808,0.4530711996371381,0.39553812362965624,0.34778901119071337,0.31531694897413065,0.9234771475852719,1
생산자물가지수,철강관 (2015=100),2011/07 ~ 2021/12,126,0.8963665629242538,0.9172823011001965,0.9138969575478013,0.8921221072676288,0.8645369971731193,0.8104248830308772,0.7397699247552072,0.6694405157314436,0.5766295915185204,0.4715709814247657,0.3707915904482882,0.2679939924073789,0.16061822796880404,0.08751608947729322,0.02575867651815554,-0.02579957297021633,-0.0633061922779717,0.9172823011001965,2
생산자물가지수,냉간압연강재 (2015=100),2011/07 ~ 2021/12,126,0.7072624117030678,0.7445428860850934,0.7679673430043934,0.7776504930890379,0.7706014201086673,0.7599916751671035,0.7478320668934594,0.7334340595173127,0.7101038119743386,0.6850749592773586,0.6596969093229558,0.6362111589204397,0.6115638756130743,0.5817572101408465,0.546831289075551,0.516938237578199,0.49963843399883323,0.7776504930890379,0
생산자물가지수,표면처리강재 (2015=100),2011/07 ~ 2021/12,126,0.8742661611652961,0.907976504671602,0.9230420672946449,0.9147431250090242,0.8892823989366244,0.8464898391820668,0.7891290569337224,0.7203000520869742,0.6452444187903997,0.5567322968730549,0.4597657964334289,0.36200263379000475,0.26786047186281764,0.1846768631944832,0.11915627646931146,0.05869253368354234,0.01888105874661067,0.9230420672946449,1
생산자물가지수,기타철강1차제품 (2015=100),2011/07 ~ 2021/12,126,0.5614909461911471,0.511226177834411,0.47336864694160957,0.43897385572791425,0.38631323762104164,0.3301708640786667,0.300021088675942,0.2707024028648536,0.23951827870156886,0.21202797945758173,0.18339631169997617,0.15633935464264462,0.12728262660753692,0.09653829682981124,0.06193080234102817,0.025633852533161583,-0.014543043078942988,0.5614909461911471,3
수입물가지수,"유연탄(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.653074597919936,0.6298107640751829,0.5958647419245431,0.5546777390179961,0.487388415447046,0.4157154471873862,0.3368961672199472,0.25913385565785735,0.18888601596747845,0.1326150302755429,0.07508640620311635,0.026500101118976705,-0.018534698255207968,-0.06052557623121623,-0.10326535828129993,-0.14391677137984665,-0.17080346676390065,0.653074597919936,3
수입물가지수,"원유(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.46794564176409054,0.43696076230639863,0.4087317392262842,0.37584049299982497,0.3466285438168025,0.30635111649256713,0.2570455882504531,0.20499111591066768,0.15078992327880225,0.08952561106292176,0.025942336583136816,-0.029705509683474022,-0.0767017510446645,-0.11902573348906882,-0.15889234484745404,-0.20619702096379638,-0.26402527414018406,0.46794564176409054,3
수입물가지수,"철광석(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.6444238574421666,0.6649018208139,0.6633348114744032,0.6533646330988518,0.6440628102193829,0.6333339273913738,0.5972693943104113,0.5591177811487511,0.512379546169266,0.46335592771172185,0.4107185531291102,0.3539317740203188,0.3005571863887287,0.25284674327744394,0.20506827177820447,0.15911461714163003,0.12326443708615685,0.6649018208139,2
수입물가지수,"선철(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.8099354368404075,0.838908896432239,0.8586505830487958,0.8711068732273831,0.8638908716060001,0.8373211931206784,0.7999440922662874,0.75696868308835,0.7057002299866786,0.631896744805916,0.533944156829769,0.4470614135430281,0.3552488610254819,0.2648001681319824,0.17379426967903833,0.07423601197250812,-0.03400434717860966,0.8711068732273831,0
수입물가지수,"합금철(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.852402185300903,0.85189973848005,0.8218350908785335,0.7958238744136584,0.7571109729309246,0.7188892643333572,0.7156501570074751,0.65129018520071,0.5806054731696729,0.49618913474807413,0.40867231367190726,0.3175951719441234,0.23905433735304504,0.15972235720983685,0.09106473505172487,0.019142910475915133,-0.036509446954381616,0.852402185300903,3
수입물가지수,"조강(2015=100, 계약통화기준)",2011/07 ~ 2021/12,126,0.659159776419337,0.7298902354699396,0.8030911850677985,0.848368954246855,0.892255885158373,0.9067999579052998,0.8937523067275038,0.8736155449042404,0.8362277288239459,0.8030577322857206,0.7369217357716904,0.6858979768451103,0.6044300382443005,0.5153336944150435,0.405452866496198,0.2959570159954936,0.1503676549793955,0.9067999579052998,-2
