Date_x,이자발생부채(천원),유동비율(비율),이자보상율,"EPS(지배, Adj.)(원/주)",비유동자산(천원),SG&A,ROE(지배)(비율),EBITDA2(천원),총자산회전율(비율),자산총계(천원),EBIT(천원),순부채(천원),부채비율(비율),자기자본비율,"BPS(지배, Adj.)(원/주)",영업이익률(비율),EBITDA2마진율(비율),EPS증가율(YoY)(비율),Free Cash Flow2(천원),당기순이익(천원),단기투자자산,운전자본증감(천원),매출액(천원),매출채권회전율,이익잉여금(천원),비유동비율(천원),유동자산(천원),ROIC(비율),투자비 대비 매출 (Rev/GI),영업이익(천원),부채총계(천원),인당영업이익,매출총이익(천원),Gross Investment (GI),매출액증가율(YoY)(연도),채무총계,순이익증가율(YoY)(비율),ROGI(%),매입채무회전율,무형자산,매출원가(천원),무형자산회전율,인당순이익,무형자산감상비 누계,ROA(비율),영업이익증가율(YoY)(연도),매출액이익률(비율),Opex Margin,EBITDA2증가율(YoY)(비율),CAPEX(천원),BPS증가율(YoY)(비율),재고자산회전율(비율),인당매출,순이익률(비율),close,close_weighted,EV_EBITDA,PBR
2018-12-01,0.0,1.42,766.6666666666667,0.13,932,185,4.13,58,0.88,2360,23,-218,376.7676767676768,20.97457627118644,9.08934287862994,3.91,9.86,0.4444444444444446,204,15,715,157,588,-17.29411764705882,-823,1.882828282828283,1428,4.07,32.66666666666666,23,1865,0.002265563435776202,289,18,-0.02072125921498302,497,0.3014354066985647,1.277777777777778,2.120567375886525,72,299,8.166666666666666,0.001477541371158392,-20,0.98,0.4699248120300752,49.15,0.3146258503401361,0.1518691588785046,63,-0.04304111745103101,0.42,0.05791962174940898,2.72,38.42207280035714,44.02,24.95,9.05
2019-03-01,0.0,1.42,-166.6666666666667,-0.09,984,151,3.78,32,0.92,2286,-2,-167,389.5074946466809,20.42869641294838,8.455502964756036,-1.07,6.84,-1.692307692307692,33,-10,723,5,468,3.272727272727273,-891,2.107066381156317,1302,16.67,11.14285714285714,-5,1819,-0.0005858230814294083,224,42,-0.02624618514750765,556,-1.786764705882353,-0.04761904761904762,2.464646464646465,60,244,7.8,-0.001171646162858817,-21,0.9,-1.273657289002557,47.86,0.3226495726495727,-0.306288032454361,16,-0.06973440460301406,0.3744,0.05483304042179262,-2.14,33.72092130265644,36.565,28.39,10.95
2019-06-01,0.0,1.31,500.0,-0.01,994,145,3.41,50,0.95,2123,12,-58,478.4741144414169,17.2868582195007,8.350884675595431,2.09,10.46,-0.8888888888888888,75,-1,635,1,478,2.265402843601896,-1009,2.708446866485013,1129,16.67,9.018867924528301,10,1756,0.001171646162858817,236,53,0.03155035520267435,577,-0.9018691588785047,0.2264150943396226,2.372549019607843,49,242,9.755102040816327,-0.0001171646162858817,-23,0.74,-2.953271028037383,49.37,0.303347280334728,0.5292397660818715,13,-0.01237280497643622,0.4369287020109689,0.05600468658465144,-0.21,27.21824756610589,29.62,22.38,11.15
2019-09-01,0.0,1.27,250.0,0.09,1001,151,3.38,46,0.97,1979,9,65,503.3536585365853,16.57402728650834,7.713316705030834,2.18,10.02,-10.0,48,10,528,-78,459,1.765384615384615,-1063,3.051829268292683,978,16.67,3.326086956521739,10,1651,0.001171646162858817,247,138,0.0899331577881306,593,-11.38095238095238,0.06521739130434782,2.058252427184466,42,212,10.92857142857143,0.001171646162858817,-24,0.73,0.04306220095693791,53.81,0.3289760348583878,-0.04206500956022952,17,-0.07634735663729397,0.4872611464968153,0.05377855887521969,2.18,22.34953956934729,26.53,19.37,10.62
2019-12-01,0.0,1.14,-100.0,-0.17,1043,171,-5.28,32,0.86,2057,2,115,685.1145038167939,12.73699562469616,9.296778504497622,-1.01,6.48,-2.888888888888889,89,-19,494,-62,494,2.6,-1143,3.980916030534351,1014,16.67,4.049180327868853,-5,1795,-0.0005858230814294083,248,122,-0.06708790187697455,609,-2.76605504587156,0.01639344262295082,3.727272727272727,36,246,13.72222222222222,-0.002226127709431752,-24,-0.91,-1.463302752293578,50.2,0.3461538461538461,-0.3532934131736526,13,0.2052893534676221,0.5025432349949135,0.05787932044522554,-3.85,21.90428028937389,22.44,19.54,11.33
2020-03-01,0.0,1.08,-120.0,1.51,1177,158,38.73,36,0.84,2151,-6,214,516.3323782234957,16.22501162250116,7.047114898922922,-1.38,8.29,-9.88235294117647,-2,168,394,-72,434,-8.68,-1050,3.372492836676218,974,16.67,1.409090909090909,-6,1802,-0.0007954394803128729,225,308,0.03266932270916345,608,-11.05454545454545,-0.01948051948051948,2.177083333333333,30,209,14.46666666666667,0.02227230544876044,-24,7.12,0.3663366336633662,51.84,0.3640552995391705,0.2793209876543208,12,-0.2419831347478433,0.4587737843551797,0.05753678907596447,38.71,22.29776155688214,20.325,15.12,6.36
2020-06-01,0.0,1.06,133.3333333333333,-0.4,1154,165,32.54,51,0.87,2102,12,117,507.514450867052,16.4605137963844,6.689565438588907,1.75,11.16,-1.264900662251656,113,-43,494,27,457,7.745762711864407,-1093,3.335260115606936,948,16.67,2.197115384615385,8,1756,0.001060585973750497,256,208,0.08063271604938271,611,-1.243089640919659,0.0576923076923077,3.241935483870968,25,201,18.28,-0.005700649608908922,-24,5.49,-2.268115942028985,56.02,0.3610503282275711,0.3462002412545238,15,-0.05073699882325788,0.4956616052060738,0.06058597375049715,-9.41,21.33262342628352,21.47,14.39,6.55
2020-09-01,0.0,1.08,16.66666666666666,-0.01,1152,163,29.49,42,0.9,2117,13,73,451.3020833333333,18.13887576759566,11.45646743345385,0.22,9.25,-0.975,171,-1,533,34,454,5.896103896103896,-1094,3.0,965,16.67,2.247524752475248,1,1733,0.0001325732467188121,254,202,-0.001249553730810482,606,-0.9766206163655685,0.06435643564356436,3.389830508474576,19,200,23.89473684210526,-0.0001325732467188121,-24,5.13,-0.8742857142857143,55.95,0.3590308370044053,-0.171146953405018,13,0.7125876917754579,0.4773922187171398,0.06018825401034071,-0.22,40.32340508200074,25.32,15.82,6.46
2020-12-01,0.0,1.1,216.6666666666667,0.04,1149,183,38.97,59,0.86,2193,11,71,448.25,18.23985408116735,12.72142043380009,2.65,12.02,-5.0,216,5,529,-17,491,7.328358208955223,-1114,2.8725,1044,16.67,2.273148148148148,13,1793,0.001723452207344558,284,216,0.03378016085790891,600,-5.636363636363637,0.05092592592592592,4.14,19,207,25.84210526315789,0.0006628662335940607,-24,6.07,11.04545454545454,57.84,0.3727087576374745,0.2994594594594595,11,0.1104138782477107,0.483743842364532,0.06509346413893677,1.02,46.55597596999118,39.91,13.44,6.11
2021-03-01,0.0,1.13,1350.0,0.47,1128,149,3.66,120,0.87,2203,86,87,428.2973621103117,18.92873354516568,13.45006037562533,16.5,24.44,10.75,105,53,538,-13,491,-13.63888888888889,-1146,2.705035971223022,1075,16.67,1.971887550200803,81,1786,0.01125,307,249,0.08108575380359606,625,9.57843137254902,0.3453815261044177,3.345454545454545,19,184,25.84210526315789,0.007361111111111111,-24,0.64,5.226415094339623,62.53,0.3034623217922607,1.033277870216306,5,0.05727661825320118,0.4636449480642115,0.06819444444444445,10.79,51.5977477151404,48.76,15.91,10.11
2021-06-01,0.0,1.15,1400.0,0.39,1099,161,24.72,107,0.89,2245,73,-88,376.6454352441614,20.97995545657016,11.30434782580984,14.26,21.79,-0.1702127659574467,324,44,684,101,491,15.34375,-1138,2.333333333333333,1146,16.67,3.8359375,70,1774,0.009722222222222222,310,128,0.009755317447625034,596,-0.1696014828544947,0.5703125,1.989010989010989,19,181,25.84210526315789,0.006111111111111111,-24,4.65,-0.1357575757575757,63.14,0.3279022403258656,-0.1084288052373159,6,-0.1595318154633734,0.436056838365897,0.06819444444444445,8.96,48.8472277610682,56.7,16.43,11.55
2021-09-01,0.0,1.11,600.0,0.15,1070,166,28.3,67,0.91,2134,33,-50,366.9584245076587,21.41518275538894,11.03095376531903,6.52,14.57,-0.6153846153846154,347,17,613,52,460,11.21951219512195,-1179,2.341356673960613,1064,16.67,3.026315789473684,30,1677,0.004166666666666667,275,152,-0.05321507760532151,563,-0.5870535714285714,0.2171052631578947,1.778846153846154,19,185,24.21052631578947,0.002361111111111111,-24,5.6,-0.5427769985974755,59.78,0.3608695652173913,-0.3313446535107847,10,-0.02418485919785673,0.4393505253104107,0.06388888888888888,3.7,46.29151396465377,42.495,17.58,13.6
2021-12-01,0.0,1.07,1250.0,0.29,1063,170,34.19,86,0.88,2169,50,-50,371.5217391304348,21.20792992162287,9.281959893363863,10.53,18.11,0.9333333333333333,432,33,592,41,475,-95.0,-1211,2.310869565217391,1106,16.67,3.064516129032258,50,1709,0.006944444444444444,294,155,0.03529608564737363,542,0.8783783783783783,0.3225806451612903,2.701492537313433,19,181,25.0,0.004583333333333333,-24,6.74,0.6150306748466259,61.89,0.3578947368421053,0.242964996568291,10,-0.1585532773651855,0.4398148148148148,0.06597222222222222,6.95,39.64439694472959,45.73,11.99,9.9
2022-03-01,0.0,0.87,1700.0,0.33,1032,157,39.76,108,0.94,1895,74,127,699.57805907173,12.5065963060686,17.02061426928125,13.71,21.77,0.1379310344827587,150,36,404,36,496,82.66666666666667,-1425,4.354430379746836,863,16.43,4.550458715596331,68,1658,0.006944444444444444,301,109,-0.01938923897237033,531,0.04460431654676245,0.6788990825688074,2.5,19,195,26.10526315789474,0.004583333333333333,-24,6.34,0.3019943019943021,60.69,0.3165322580645161,0.2020982882385423,1,0.8337306414618466,0.5855962219598583,0.06597222222222222,7.26,38.41795792209196,38.51,14.36,21.77
